group,rel_t,mean,std
control,-2,0.9227162744474353,0.21697892202024613
control,-1,0.8711350148042992,0.28000877257850204
control,0,0.22001118951105123,0.40148993140613326
control,1,0.7823638670813264,0.34517773093838183
control,2,0.6659502985529105,0.39443404119668546
treatment,-2,0.9078608905350108,0.23162603093986847
treatment,-1,0.8418301162472147,0.3014030727479583
treatment,0,0.05715187834267672,0.22596111052230924
treatment,1,0.7566182330850464,0.3408605880594482
treatment,2,0.6461148717519544,0.3923591792942886
