group,rel_t,mean,std
control,-4,0.4609215355264578,0.4102119403018512
control,-3,0.44353956225054586,0.4099482228586146
control,-2,0.4297654967004452,0.409106366825307
control,-1,0.3938509166246333,0.4035489403333395
control,0,0.4037069094443487,0.4228407061199889
control,1,0.3421612998815074,0.38151078225577006
control,2,0.4310895838614671,0.40161386934631793
control,3,0.39741653230112606,0.4076029596748585
control,4,0.37498103224672075,0.40387696966820286
treatment,-4,0.5435253844538797,0.4230550829633603
treatment,-3,0.522675641432768,0.42028824498904377
treatment,-2,0.5096607198357198,0.4298290096789258
treatment,-1,0.49553406025143154,0.4277036085562778
treatment,0,0.0,0.0
treatment,1,0.5073132616901131,0.4179355622366319
treatment,2,0.5390687165235567,0.41919643323183203
treatment,3,0.48755905579486747,0.4243869179802787
treatment,4,0.45989110707803993,0.42754106364630673
