member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
1051,131,2021-08-29,2021-09-08,11,control,0,0.11020346,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,1051|131|2021-08-29,-0.2039149378817187,-0.9559356643618345
1570,131,2021-08-29,2021-09-08,11,treatment,1,0.034291703,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,1570|131|2021-08-29,-0.2798266948817187,-0.9559356643618345
1795,131,2021-08-29,2021-09-08,11,control,0,0.33909202,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.09090909090909091,1795|131|2021-08-29,0.024973622118281302,-0.9559356643618345
1957,131,2021-08-29,2021-09-08,11,control,0,0.009258403,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,1957|131|2021-08-29,-0.30485999488171867,-0.9559356643618345
2582,131,2021-08-29,2021-09-08,11,control,0,0.42200556,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,2582|131|2021-08-29,0.10788716211828131,-0.9559356643618345
2583,131,2021-08-29,2021-09-08,11,control,0,0.26076895,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.09090909090909091,2583|131|2021-08-29,-0.05334944788171869,-0.9559356643618345
2786,131,2021-08-29,2021-09-08,11,control,0,0.041122757,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,2786|131|2021-08-29,-0.2729956408817187,-0.9559356643618345
2842,131,2021-08-29,2021-09-08,11,control,0,0.96976817,1,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.36363636363636365,2842|131|2021-08-29,0.6556497721182813,-0.9559356643618345
3931,131,2021-08-29,2021-09-08,11,treatment,1,0.45094156,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.18181818181818182,3931|131|2021-08-29,0.13682316211828133,-0.9559356643618345
4097,131,2021-08-29,2021-09-08,11,control,0,0.032351106,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,4097|131|2021-08-29,-0.2817672918817187,-0.9559356643618345
4211,131,2021-08-29,2021-09-08,11,control,0,0.012630841,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,4211|131|2021-08-29,-0.3014875568817187,-0.9559356643618345
4539,131,2021-08-29,2021-09-08,11,control,0,0.29753086,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,4539|131|2021-08-29,-0.016587537881718684,-0.9559356643618345
4658,131,2021-08-29,2021-09-08,11,control,0,0.04158561,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,4658|131|2021-08-29,-0.2725327878817187,-0.9559356643618345
5536,131,2021-08-29,2021-09-08,11,control,0,0.03429987,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,5536|131|2021-08-29,-0.2798185278817187,-0.9559356643618345
6280,131,2021-08-29,2021-09-08,11,control,0,0.025321756,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,6280|131|2021-08-29,-0.2887966418817187,-0.9559356643618345
6406,131,2021-08-29,2021-09-08,11,control,0,0.027888538,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,6406|131|2021-08-29,-0.2862298598817187,-0.9559356643618345
6648,131,2021-08-29,2021-09-08,11,control,0,0.2624445,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,6648|131|2021-08-29,-0.05167389788171867,-0.9559356643618345
6870,131,2021-08-29,2021-09-08,11,control,0,0.01832136,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,6870|131|2021-08-29,-0.2957970378817187,-0.9559356643618345
6933,131,2021-08-29,2021-09-08,11,treatment,1,0.16276826,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.18181818181818182,6933|131|2021-08-29,-0.1513501378817187,-0.9559356643618345
7007,131,2021-08-29,2021-09-08,11,control,0,0.32515696,0,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.0,7007|131|2021-08-29,0.011038562118281303,-0.9559356643618345
7060,131,2021-08-29,2021-09-08,11,control,0,0.59408844,1,dept_131_closure_2021-08-29,2021-08-18,2021-08,-1,0,0.18181818181818182,7060|131|2021-08-29,0.27997004211828136,-0.9559356643618345
