spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,882,0.08001247067027906,0.026603408891232142,0.014447341470761571,0.06623514484433635,binary
binary_collapsed,post_X_disp,882,0.08001247067027906,-0.04606250786917322,0.011711176809605088,9.736284429928688e-05,binary
binary_collapsed,post_X_treated_X_disp,882,0.08001247067027906,0.07203653384319858,0.0350996771864743,0.04072752641321675,binary
score_collapsed,post_X_treated,882,0.0989839100407297,0.05167105121310603,0.015135084584488168,0.0006994891472136278,score
score_collapsed,post_X_score,882,0.0989839100407297,-0.07580683947305722,0.016963729495383918,1.001894039243112e-05,score
score_collapsed,post_X_treated_X_score,882,0.0989839100407297,0.06953012760061865,0.04973058572401546,0.16277654786495122,score
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",882,0.030203051415459092,0.05459078337423554,0.01748173110768812,0.0019100384262491499,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",882,0.08001247067027928,0.026603408891232257,0.014447341470761642,0.06623514484433657,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",882,0.08001247067027928,0.07203653384319834,0.03509967718647435,0.04072752641321764,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",882,0.08001247067027928,-0.04606250786917319,0.011711176809605086,9.736284429928688e-05,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",882,0.0989839100407297,0.05167105121310605,0.01513508458448817,0.0006994891472136278,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",882,0.0989839100407297,0.06953012760061857,0.04973058572401546,0.16277654786495166,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",882,0.0989839100407297,-0.07580683947305723,0.016963729495383918,1.001894039243112e-05,event_study
