member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
5,225,2021-02-09,2021-02-18,10,control,0,0.14528728,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,5|225|2021-02-09,-0.4117555280071218,0.0
866,225,2021-02-09,2021-02-18,10,control,0,0.34398916,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,866|225|2021-02-09,-0.2130536480071218,0.0
1100,225,2021-02-09,2021-02-18,10,control,0,0.6347374,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.3,1100|225|2021-02-09,0.0776945919928782,0.0
2097,225,2021-02-09,2021-02-18,10,control,0,0.23596613,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,2097|225|2021-02-09,-0.3210766780071218,0.0
2185,225,2021-02-09,2021-02-18,10,control,0,0.2621139,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,2185|225|2021-02-09,-0.2949289080071218,0.0
2206,225,2021-02-09,2021-02-18,10,control,0,0.4399006,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,2206|225|2021-02-09,-0.11714220800712183,0.0
3239,225,2021-02-09,2021-02-18,10,control,0,0.085536055,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,3239|225|2021-02-09,-0.4715067530071218,0.0
3256,225,2021-02-09,2021-02-18,10,control,0,0.27744627,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,3256|225|2021-02-09,-0.2795965380071218,0.0
5717,225,2021-02-09,2021-02-18,10,control,0,0.86031544,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.2,5717|225|2021-02-09,0.30327263199287824,0.0
7281,225,2021-02-09,2021-02-18,10,control,0,0.99898213,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.7,7281|225|2021-02-09,0.4419393219928782,0.0
8427,225,2021-02-09,2021-02-18,10,control,0,0.019571843,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,8427|225|2021-02-09,-0.5374709650071218,0.0
8449,225,2021-02-09,2021-02-18,10,control,0,0.08294749,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,8449|225|2021-02-09,-0.4740953180071218,0.0
10251,225,2021-02-09,2021-02-18,10,control,0,0.52154756,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.2,10251|225|2021-02-09,-0.03549524800712178,0.0
12391,225,2021-02-09,2021-02-18,10,control,0,0.15027635,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,12391|225|2021-02-09,-0.4067664580071218,0.0
12400,225,2021-02-09,2021-02-18,10,control,0,0.018340718,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,12400|225|2021-02-09,-0.5387020900071218,0.0
12928,225,2021-02-09,2021-02-18,10,control,0,0.8517119,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,12928|225|2021-02-09,0.29466909199287816,0.0
15825,225,2021-02-09,2021-02-18,10,control,0,0.21903794,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,15825|225|2021-02-09,-0.3380048680071218,0.0
