spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,3068,0.010912483000238282,-0.008482821526299892,0.013222848273144103,0.5213718930022619,binary
binary_collapsed,post_X_disp,3068,0.010912483000238282,-0.03734079254079279,0.009007522202635433,3.769097725903059e-05,binary
binary_collapsed,post_X_treated_X_disp,3068,0.010912483000238282,-0.011717178473700055,0.02403505013026765,0.6260408325509637,binary
score_collapsed,post_X_treated,3068,0.017798011490772425,-0.014809164406463283,0.012431738623872911,0.23392898652237104,score
score_collapsed,post_X_score,3068,0.017798011490772425,-0.08033438804946724,0.015383428270085311,2.2809373567689306e-07,score
score_collapsed,post_X_treated_X_score,3068,0.017798011490772425,-0.0068577782180885795,0.0463374179497811,0.8823844350436505,score
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",3068,0.0007508122486256097,0.003512402591841805,0.0159497560818809,0.8257610704444123,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",3068,0.0007508122486256097,-0.013418776582079829,0.013907449027983373,0.33491817302380333,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",3068,0.0007508122486256097,-0.013203265492535674,0.017297300065797955,0.4455113741557044,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",3068,0.02177262685343284,-0.008102766798418901,0.015019453506222755,0.5897091621606081,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",3068,0.02177262685343284,-0.0030556400121612157,0.015307380958985354,0.8418317529421546,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",3068,0.02177262685343284,-0.022012769838856538,0.017397938969313964,0.20616590010371594,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",3068,0.02177262685343284,0.020636100131752183,0.029117918478571845,0.4787213553396572,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",3068,0.02177262685343284,-0.01834435998783918,0.026314196959047676,0.4859342909859441,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",3068,0.02177262685343284,0.015546103172189792,0.03255257198881715,0.6330931522669014,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",3068,0.02177262685343284,0.051103030303030206,0.010641946111188091,1.8892469031417392e-06,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",3068,0.02177262685343284,-0.01593100233100197,0.009916260626401451,0.10856448596890833,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",3068,0.02177262685343284,-0.007647552447552205,0.012400824819579683,0.5376177873189492,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated",3068,0.0326172035698975,0.003185683547326364,0.01531412966878185,0.8352666942462919,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",3068,0.0326172035698975,-0.013209886442386298,0.013609729553433871,0.3320435286702783,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated",3068,0.0326172035698975,-0.013222758823213849,0.01693872537691168,0.435265415013109,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_score",3068,0.0326172035698975,0.008203458692217268,0.05017241091601358,0.8701636725573398,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",3068,0.0326172035698975,-0.011803239823358035,0.04875027801817011,0.8087548080196829,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_score",3068,0.0326172035698975,0.006291142079397734,0.06378919802198295,0.9214626628348996,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:displacement_prob_centered",3068,0.0326172035698975,0.10383237866448809,0.01782819952182524,8.450986355157397e-09,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",3068,0.0326172035698975,-0.03730885286542831,0.016995079749309965,0.028443269994826714,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:displacement_prob_centered",3068,0.0326172035698975,-0.019527544569017848,0.021753606266889196,0.36964393181485367,event_study
