evaluation_slice,score_decile,n,mean_predicted_probability,observed_purchase_rate,min_predicted_probability,max_predicted_probability
treated_pre_t-1,0,739,0.005461149,0.04736129905277402,5.6628793e-05,0.010543896
treated_pre_t-1,1,739,0.017317455,0.07713125845737483,0.0105781015,0.024599021
treated_pre_t-1,2,739,0.034186434,0.08930987821380243,0.024608068,0.04607855
treated_pre_t-1,3,739,0.06340875,0.13802435723951287,0.046122473,0.084274195
treated_pre_t-1,4,739,0.116520695,0.2219215155615697,0.08437513,0.15641156
treated_pre_t-1,5,739,0.20851204,0.2774018944519621,0.15647878,0.2706372
treated_pre_t-1,6,739,0.35964823,0.36535859269282817,0.2709059,0.45426214
treated_pre_t-1,7,739,0.56134593,0.46820027063599456,0.4543759,0.68201303
treated_pre_t-1,8,739,0.8006055,0.6238159675236806,0.6824893,0.9099506
treated_pre_t-1,9,739,0.9673242,0.8362652232746955,0.91033906,0.9999484
control_pre_t-1,0,3276,0.00486555,0.03663003663003663,0.00012177332,0.009680182
control_pre_t-1,1,3276,0.015933188,0.06135531135531135,0.009682929,0.023224557
control_pre_t-1,2,3276,0.034047946,0.09737484737484738,0.023235695,0.04725609
control_pre_t-1,3,3275,0.06732702,0.14778625954198474,0.047258947,0.09225145
control_pre_t-1,4,3276,0.12774594,0.2087912087912088,0.09225524,0.16982178
control_pre_t-1,5,3276,0.22392435,0.30128205128205127,0.1698328,0.28554183
control_pre_t-1,6,3275,0.36196646,0.3569465648854962,0.28575188,0.44850597
control_pre_t-1,7,3276,0.5513582,0.4606227106227106,0.4485853,0.6611973
control_pre_t-1,8,3276,0.7819342,0.6028693528693528,0.66127825,0.8943358
control_pre_t-1,9,3276,0.96080565,0.8058608058608059,0.8943731,0.99992085
control_period_0,0,3276,0.0048115877,0.0405982905982906,0.00013584229,0.009520502
control_period_0,1,3276,0.015831288,0.07020757020757021,0.009524928,0.023391705
control_period_0,2,3276,0.034283757,0.09065934065934066,0.02339301,0.047356103
control_period_0,3,3275,0.06828591,0.13801526717557253,0.04737845,0.093199626
control_period_0,4,3276,0.1300185,0.19047619047619047,0.09329176,0.172437
control_period_0,5,3276,0.22692594,0.23992673992673993,0.17244835,0.28711173
control_period_0,6,3275,0.36155668,0.30778625954198474,0.28728634,0.4424774
control_period_0,7,3276,0.53672063,0.37362637362637363,0.44248465,0.6348145
control_period_0,8,3276,0.7461241,0.4713064713064713,0.6348694,0.855272
control_period_0,9,3276,0.9424039,0.7032967032967034,0.8553347,0.9998441
