evaluation_slice,closure_duration_days,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
control_period_0,10,1244,261,983,0.20980707395498394,0.22678945366571315,0.790192926045016,0.5,0.17926045016077172,865,118,156,105,0.7797427652733119,0.40229885057471265,0.8799593082400814,0.12004069175991862,0.5977011494252874,0.47085201793721976,0.8472086190009794,0.43388429752066116,0.7744101838534786,0.5013042210630716,0.5023987766329363,0.1567928685195431,0.16578806567343182,0.05425720553135227,-0.6071075645980339,0.46076717683824486
control_period_0,11,5020,1237,3783,0.24641434262948206,0.22074813371356317,0.753585657370518,0.5,0.16912350597609563,3445,338,726,511,0.7880478087649403,0.4130962004850445,0.9106529209621993,0.08934707903780069,0.5869037995149555,0.6018845700824499,0.8259410213378087,0.4899328859060403,0.7828604374204388,0.5848208985643059,0.5850488598287582,0.1519940339719692,0.1856943143759623,0.1814825645967948,-0.24200547599533398,0.5475908318854945
control_period_0,12,3164,621,2543,0.19627054361567636,0.2560626420666471,0.8037294563843236,0.5,0.22629582806573956,2153,390,295,326,0.7835018963337548,0.5249597423510467,0.8466378293354306,0.15336217066456942,0.4750402576489533,0.4553072625698324,0.8794934640522876,0.487658937920718,0.7863637543748335,0.5083162559709911,0.508828315688609,0.15350486932459984,0.15774841732448325,0.02690073264668369,-0.8375030424832979,0.4320797389679389
control_period_0,13,1662,396,1266,0.23826714801444043,0.28570757263547075,0.7617328519855595,0.5,0.26173285198555957,1032,234,195,201,0.7418772563176895,0.5075757575757576,0.8151658767772512,0.1848341232227488,0.49242424242424243,0.46206896551724136,0.8410757946210269,0.48375451263537905,0.7799340163084238,0.5248914400405787,0.5269772395509501,0.17930656797271435,0.18149591419150515,0.012062785151629951,-0.6964201478663268,0.38793173540672576
control_period_0,14,5232,1201,4031,0.22954892966360857,0.24498878693592724,0.7704510703363914,0.5,0.18214831804281345,3605,426,674,527,0.7897553516819572,0.43880099916736054,0.8943190275365914,0.10568097246340859,0.5611990008326395,0.55299055613851,0.8424865622809068,0.489322191272052,0.7829572685129051,0.554691103695895,0.5549298042010901,0.148059501174697,0.17685621855390024,0.16282558574793293,-0.45631350982235297,0.5917618621757639
control_period_0,15,551,207,344,0.37568058076225047,0.3265153559512628,0.6243194192377495,0.5,0.2831215970961887,293,51,102,105,0.7223230490018149,0.5072463768115942,0.8517441860465116,0.14825581395348839,0.4927536231884058,0.6730769230769231,0.7417721518987341,0.5785123966942148,0.754128749578699,0.6859631079120916,0.6869188821515247,0.21038751178953757,0.23454468200038864,0.10299602619346981,-0.09791361666992184,0.373940209769594
control_period_0,16,2416,726,1690,0.30049668874172186,0.3035923686314627,0.6995033112582781,0.5,0.27607615894039733,1432,258,317,409,0.7620033112582781,0.5633608815426997,0.8473372781065088,0.15266272189349112,0.4366391184573003,0.6131934032983508,0.8187535734705546,0.5872218234027279,0.7936158247347059,0.6459871476068236,0.6466345701605146,0.17621770530695813,0.21019842879698258,0.16166021641790818,-0.35644579087440525,0.44824515582810315
control_period_0,17,2783,847,1936,0.30434782608695654,0.3524294585579405,0.6956521739130435,0.5,0.3413582464965864,1521,415,312,535,0.7387711103126123,0.6316410861865407,0.7856404958677686,0.2143595041322314,0.36835891381345925,0.5631578947368421,0.8297872340425532,0.5954368391764051,0.7890000683013455,0.6269701502845271,0.6273835448155625,0.1830165699225854,0.21172022684310018,0.13557352241921716,-0.49860434316930374,0.4783045920745602
control_period_0,18,3176,712,2464,0.22418136020151133,0.28352446601345566,0.7758186397984886,0.5,0.2307934508816121,2104,360,339,373,0.779911838790932,0.523876404494382,0.8538961038961039,0.1461038961038961,0.476123595505618,0.5088676671214188,0.86123618501842,0.5162629757785467,0.7859776284109149,0.5694656865956971,0.5698068008104555,0.1550792268322182,0.17392407793971157,0.1083510191960062,-0.7363067340578421,0.5371211003410686
control_period_0,26,4645,1387,3258,0.2986006458557589,0.4335252782902846,0.7013993541442411,0.5,0.4073196986006459,2283,975,470,917,0.6889128094725512,0.6611391492429705,0.7007366482504604,0.2992633517495396,0.33886085075702954,0.4846723044397463,0.8292771521976026,0.5593168648978347,0.76134161243822,0.5919539941224992,0.5922442638648829,0.20754842191483214,0.20943830015028259,0.009023556026258595,-0.849215592397207,0.4943198522561564
control_period_0,28,1891,657,1234,0.34743521946060285,0.4435581486080975,0.6525647805393971,0.5,0.42993125330512955,889,345,189,468,0.7176097303014278,0.7123287671232876,0.720421393841167,0.27957860615883307,0.2876712328767123,0.5756457564575646,0.8246753246753247,0.636734693877551,0.7913814327193248,0.688845108929845,0.6892452657838725,0.19868931746570845,0.22672398773896557,0.12365109908676408,-0.6409635075070919,0.4890668714895485
control_period_0,29,974,350,624,0.3593429158110883,0.45449664929831013,0.6406570841889117,0.5,0.4486652977412731,423,201,114,236,0.6765913757700205,0.6742857142857143,0.6778846153846154,0.32211538461538464,0.32571428571428573,0.540045766590389,0.7877094972067039,0.5997458703939009,0.7392170329670329,0.6106670153709622,0.6116139781245519,0.2323657814271205,0.23021558466747338,-0.009339927019940353,-0.5855935611904107,0.33109522382706275
control_pre_t-1,10,1244,216,1028,0.17363344051446947,0.22641991277924745,0.8263665594855305,0.5,0.17845659163987138,922,106,100,116,0.8344051446945338,0.5370370370370371,0.896887159533074,0.10311284046692606,0.46296296296296297,0.5225225225225225,0.9021526418786693,0.5296803652968036,0.8430609597924773,0.5798229057105118,0.5807647985982435,0.12168216832996141,0.14348486884957765,0.15195121753550955,-0.8122902526238335,0.5990104249838061
control_pre_t-1,11,5020,1376,3644,0.27410358565737053,0.22354137287272255,0.7258964143426294,0.5,0.17191235059760956,3377,267,780,596,0.7914342629482072,0.4331395348837209,0.926728869374314,0.07327113062568606,0.5668604651162791,0.6906141367323291,0.8123646860716863,0.5323805270209915,0.8199985879942818,0.6584275533411872,0.6586590710114016,0.1497789207539882,0.19897080998714306,0.24723168808697882,0.06560262840588327,0.6572896565748363
control_pre_t-1,12,3164,793,2371,0.2506321112515803,0.260182499769875,0.7493678887484196,0.5,0.2209228824273072,2097,274,368,425,0.7970922882427307,0.5359394703656999,0.8844369464361029,0.1155630535638971,0.4640605296343001,0.6080114449213162,0.850709939148073,0.5697050938337802,0.8289780412008705,0.6279187089674302,0.628302679098932,0.14875766476083155,0.18781565606115577,0.20795918785176415,-0.42918422872712997,0.5068475110001005
control_pre_t-1,13,1662,529,1133,0.31829121540312877,0.27850307446643946,0.6817087845968712,0.5,0.2490974729241877,1002,131,246,283,0.7731648616125151,0.5349716446124764,0.884377758164166,0.11562224183583407,0.46502835538752363,0.6835748792270532,0.8028846153846154,0.6002120890774125,0.8303064784427311,0.7178275916019827,0.7181885277217932,0.16043333485840733,0.21698191760032784,0.26061426393180276,-0.03807977790022295,0.5060224082185186
control_pre_t-1,14,5232,1179,4053,0.2253440366972477,0.2582748427646041,0.7746559633027523,0.5,0.19858562691131498,3583,470,610,569,0.7935779816513762,0.48261238337574214,0.8840365161608685,0.1159634838391315,0.5173876166242578,0.5476419634263715,0.8545194371571667,0.5130748422001803,0.7925468877491977,0.5584285478485196,0.5586994682207693,0.147225413714474,0.1745641018222372,0.1566111693204988,-0.5758473761301158,0.5776227840224313
control_pre_t-1,15,551,256,295,0.4646098003629764,0.33990836661362245,0.5353901996370236,0.5,0.29219600725952816,265,30,125,131,0.7186932849364791,0.51171875,0.8983050847457628,0.1016949152542373,0.48828125,0.8136645962732919,0.6794871794871795,0.6282973621103117,0.7877648305084746,0.7884834692827176,0.7889651871677663,0.21410821727234144,0.2487475337696516,0.13925491429952153,0.4061927924067461,0.45126494303641784
control_pre_t-1,16,2416,755,1661,0.3125,0.31405523410886954,0.6875,0.5,0.2806291390728477,1414,247,324,431,0.7636589403973509,0.5708609271523178,0.8512944009632751,0.14870559903672487,0.4291390728476821,0.6356932153392331,0.8135788262370541,0.6015352407536636,0.8128582877146536,0.6721499824745301,0.6725464024216037,0.16953879368472624,0.21484375,0.21087397848563783,-0.31740537713116096,0.4723216481471782
control_pre_t-1,17,2783,898,1885,0.32267337405677327,0.36680924736530235,0.6773266259432267,0.5,0.35429392741645704,1495,390,302,596,0.7513474667624865,0.6636971046770601,0.7931034482758621,0.20689655172413793,0.3363028953229399,0.6044624746450304,0.8319421257651641,0.6326963906581741,0.8153568495861714,0.6670174517160836,0.6673656578172695,0.17523915744686808,0.21855526773159092,0.19819293643345004,-0.46328466387149664,0.49908498810737745
