evaluation_slice,closure_event_id,closure_duration_days,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
control_period_0,dept_121_closure_2021-08-03,18,1807,404,1403,0.22357498616491422,0.29873590150035123,0.7764250138350858,0.5,0.25733259546209186,1164,239,178,226,0.7692307692307693,0.5594059405940595,0.8296507483962936,0.17034925160370634,0.4405940594059406,0.4860215053763441,0.8673621460506706,0.520138089758343,0.7798688101169348,0.5593621896179501,0.559974503527841,0.16247382115411463,0.17358921172627265,0.06403272681303218,-0.8122382447345513,0.5109049672885635
control_period_0,dept_124_closure_2021-07-22,28,1891,657,1234,0.34743521946060285,0.4435581486080975,0.6525647805393971,0.5,0.42993125330512955,889,345,189,468,0.7176097303014278,0.7123287671232876,0.720421393841167,0.27957860615883307,0.2876712328767123,0.5756457564575646,0.8246753246753247,0.636734693877551,0.7913814327193248,0.688845108929845,0.6892452657838725,0.19868931746570845,0.22672398773896557,0.12365109908676408,-0.6409635075070919,0.4890668714895485
control_period_0,dept_131_closure_2021-08-29,11,2312,562,1750,0.2430795847750865,0.18085131800261603,0.7569204152249135,0.5,0.12413494809688581,1655,95,370,192,0.7988754325259516,0.3416370106761566,0.9457142857142857,0.054285714285714284,0.6583629893238434,0.6689895470383276,0.817283950617284,0.45229681978798586,0.7795241484494154,0.5847058734765712,0.5852146946642942,0.15094301134154106,0.18399190024065804,0.1796214336385984,-0.028537109390762865,0.5666332494032047
control_period_0,dept_133_closure_2021-07-28,26,1984,645,1339,0.3251008064516129,0.4304110649564762,0.6748991935483871,0.5,0.40372983870967744,962,377,221,424,0.6985887096774194,0.6573643410852713,0.7184466019417476,0.2815533980582524,0.3426356589147287,0.529338327091136,0.8131868131868132,0.5864453665283541,0.7695387625845969,0.6309043359794848,0.6314247584766074,0.20098110089001095,0.21941027209612382,0.08399411308345228,-0.6816847574215763,0.5235653251554958
control_period_0,dept_182_closure_2021-08-03,18,1369,308,1061,0.22498173849525202,0.2634462600785979,0.775018261504748,0.5,0.19576333089846604,940,121,161,147,0.7940102264426588,0.4772727272727273,0.885956644674835,0.11404335532516494,0.5227272727272727,0.5485074626865671,0.8537693006357856,0.5104166666666666,0.7954514853666597,0.5870228652186706,0.5877783391571326,0.1453187944438567,0.17436495583890604,0.16658256388333437,-0.6154406279077783,0.5830842353493132
control_period_0,dept_19_closure_2021-07-15,11,2708,675,2033,0.24926144756277696,0.25481070310932014,0.750738552437223,0.5,0.20753323485967504,1790,243,356,319,0.7788035450516987,0.4725925925925926,0.8804722085587802,0.11952779144121987,0.5274074074074074,0.5676156583629893,0.8341099720410066,0.5157639450282943,0.789476599078173,0.5915306823581608,0.5919403773784546,0.15289136200799208,0.18713017832168594,0.18296790299016152,-0.37511844779165665,0.5601314769891973
control_period_0,dept_220_closure_2021-08-03,10,1244,261,983,0.20980707395498394,0.22678945366571315,0.790192926045016,0.5,0.17926045016077172,865,118,156,105,0.7797427652733119,0.40229885057471265,0.8799593082400814,0.12004069175991862,0.5977011494252874,0.47085201793721976,0.8472086190009794,0.43388429752066116,0.7744101838534786,0.5013042210630716,0.5023987766329363,0.1567928685195431,0.16578806567343182,0.05425720553135227,-0.6071075645980339,0.46076717683824486
control_period_0,dept_238_closure_2021-07-24,29,974,350,624,0.3593429158110883,0.45449664929831013,0.6406570841889117,0.5,0.4486652977412731,423,201,114,236,0.6765913757700205,0.6742857142857143,0.6778846153846154,0.32211538461538464,0.32571428571428573,0.540045766590389,0.7877094972067039,0.5997458703939009,0.7392170329670329,0.6106670153709622,0.6116139781245519,0.2323657814271205,0.23021558466747338,-0.009339927019940353,-0.5855935611904107,0.33109522382706275
control_period_0,dept_246_closure_2021-07-27,13,465,110,355,0.23655913978494625,0.24313504024532684,0.7634408602150538,0.5,0.2172043010752688,294,61,70,40,0.7182795698924731,0.36363636363636365,0.828169014084507,0.17183098591549295,0.6363636363636364,0.39603960396039606,0.8076923076923077,0.3791469194312796,0.7449935979513446,0.42708707849931443,0.43098778095479046,0.1954270590383407,0.1805989131691525,-0.0821053992462284,-0.5970008348365382,0.323292313491251
control_period_0,dept_39_closure_2021-07-25,26,2661,742,1919,0.2788425403983465,0.4358471870667881,0.7211574596016534,0.5,0.40999624201428037,1321,598,249,493,0.6816986095452837,0.6644204851752021,0.6883793642522147,0.3116206357477853,0.33557951482479786,0.45187901008249315,0.8414012738853504,0.5379159847244953,0.7562908298206754,0.5646838076058908,0.5653197376820097,0.21244491380256048,0.20108937806254298,-0.05647009230137301,-0.9766539382800943,0.47724884384397254
