evaluation_slice,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
treated_pre_t-1,7390,2324,5066,0.31447902571041947,0.31343303994781974,0.6855209742895805,0.3,0.3818673883626522,3894,1172,674,1650,0.7502029769959404,0.7099827882960413,0.7686537702329254,0.2313462297670746,0.29001721170395867,0.5846917080085046,0.8524518388791593,0.6412747765254566,0.8175451934634935,0.6974044613882217,0.6974985087874547,0.16240676518141625,0.21558196809864477,0.24665886199209808,-0.27595025144106183,0.5370007660545947
treated_pre_t-1,7390,2324,5066,0.31447902571041947,0.31343303994781974,0.6855209742895805,0.4,0.32895805142083895,4142,924,817,1507,0.7644113667117727,0.6484509466437177,0.8176075799447295,0.18239242005527043,0.3515490533562823,0.6199095022624435,0.8352490421455939,0.6338590956887487,0.8175451934634935,0.6974044613882217,0.6974985087874547,0.16240676518141625,0.21558196809864477,0.24665886199209808,-0.27595025144106183,0.5370007660545947
treated_pre_t-1,7390,2324,5066,0.31447902571041947,0.31343303994781974,0.6855209742895805,0.5,0.2775372124492558,4368,698,971,1353,0.7741542625169148,0.5821858864027539,0.8622187129885511,0.13778128701144887,0.41781411359724613,0.6596782057532911,0.8181307360929013,0.6185142857142857,0.8175451934634935,0.6974044613882217,0.6974985087874547,0.16240676518141625,0.21558196809864477,0.24665886199209808,-0.27595025144106183,0.5370007660545947
treated_pre_t-1,7390,2324,5066,0.31447902571041947,0.31343303994781974,0.6855209742895805,0.6,0.23125845737483086,4550,516,1131,1193,0.7771312584573749,0.5133390705679862,0.8981444926964074,0.10185550730359258,0.4866609294320138,0.6980690462258631,0.8009153318077803,0.5916191420778577,0.8175451934634935,0.6974044613882217,0.6974985087874547,0.16240676518141625,0.21558196809864477,0.24665886199209808,-0.27595025144106183,0.5370007660545947
treated_pre_t-1,7390,2324,5066,0.31447902571041947,0.31343303994781974,0.6855209742895805,0.7,0.1925575101488498,4692,374,1275,1049,0.7768606224627875,0.45137693631669534,0.9261744966442953,0.0738255033557047,0.5486230636833046,0.7371749824314828,0.7863247863247863,0.559914598345343,0.8175451934634935,0.6974044613882217,0.6974985087874547,0.16240676518141625,0.21558196809864477,0.24665886199209808,-0.27595025144106183,0.5370007660545947
control_pre_t-1,32758,10088,22670,0.3079553086269003,0.31299686445555563,0.6920446913730998,0.3,0.3890652664997863,17112,5558,2901,7187,0.741773002014775,0.7124306106264869,0.7548301720335244,0.24516982796647552,0.28756938937351306,0.5639074146724206,0.8550442212561835,0.6295274383567643,0.8144724024525944,0.6769493669411029,0.676976876486455,0.16401404849336895,0.2131188365154109,0.2304103608340181,-0.3086971347086564,0.5360587746460479
control_pre_t-1,32758,10088,22670,0.3079553086269003,0.31299686445555563,0.6920446913730998,0.4,0.32572196104768303,18427,4243,3661,6427,0.7587154282923255,0.6370935765265662,0.8128363475959418,0.18716365240405822,0.36290642347343377,0.6023430178069353,0.8342538935168418,0.6192311398015223,0.8144724024525944,0.6769493669411029,0.676976876486455,0.16401404849336895,0.2131188365154109,0.2304103608340181,-0.3086971347086564,0.5360587746460479
control_pre_t-1,32758,10088,22670,0.3079553086269003,0.31299686445555563,0.6920446913730998,0.5,0.2741620367543806,19456,3214,4321,5767,0.7699798522498321,0.5716693100713719,0.8582267313630348,0.14177326863696516,0.42833068992862805,0.6421333927179601,0.8182697564873618,0.6048560490849022,0.8144724024525944,0.6769493669411029,0.676976876486455,0.16401404849336895,0.2131188365154109,0.2304103608340181,-0.3086971347086564,0.5360587746460479
control_pre_t-1,32758,10088,22670,0.3079553086269003,0.31299686445555563,0.6920446913730998,0.6,0.2266316624946578,20300,2370,5034,5054,0.773978875389218,0.5009912767644726,0.8954565505072783,0.10454344949272165,0.49900872323552736,0.6807650862068966,0.8012947027709797,0.5772042028323435,0.8144724024525944,0.6769493669411029,0.676976876486455,0.16401404849336895,0.2131188365154109,0.2304103608340181,-0.3086971347086564,0.5360587746460479
control_pre_t-1,32758,10088,22670,0.3079553086269003,0.31299686445555563,0.6920446913730998,0.7,0.1850235057085292,20949,1721,5748,4340,0.7719946272666219,0.4302141157811261,0.9240846934274372,0.07591530657256286,0.5697858842188739,0.7160534565253258,0.7846949095403978,0.5374945817078457,0.8144724024525944,0.6769493669411029,0.676976876486455,0.16401404849336895,0.2131188365154109,0.2304103608340181,-0.3086971347086564,0.5360587746460479
