group,rel_t,mean,se_cluster,ci_low,ci_high,n,n_clusters
control,-4,0.05533613422755006,0.0020629588756708706,0.05098367145523043,0.059688596999869684,32758,18
control,-3,0.05229827286300151,0.0017530904806932267,0.04859957525748388,0.05599697046851914,32758,18
control,-2,0.050622322322600354,0.0022766545344001443,0.04581900112057838,0.05542564352462233,32758,18
control,-1,0.04162588305851097,0.0019563688066214883,0.037498305674314045,0.045753460442707894,32758,18
control,0,0.03596221576923022,0.0017469022160565772,0.032276574260842746,0.039647857277617694,32758,18
control,1,0.039225455778790316,0.0017297329325337131,0.03557603829223962,0.042874873265341014,32758,18
control,2,0.04264569255432239,0.0016816576736899157,0.0390977049977887,0.04619368011085608,32758,18
control,3,0.03989850506803783,0.0013630296099258912,0.0370227639639683,0.042774246172107365,32758,18
control,4,0.041731029774375976,0.0010471236224371475,0.03952179204384097,0.04394026750491098,32758,18
treatment,-4,0.051656826140017056,0.0021111695252432248,0.04720264778821222,0.056111004491821895,7390,18
treatment,-3,0.047632132638737265,0.0030314990350112647,0.041236228750484244,0.054028036526990286,7390,18
treatment,-2,0.04753473859004055,0.003235742602348548,0.04070791844174711,0.054361558738333995,7390,18
treatment,-1,0.03914075501741595,0.0044670725705539364,0.029716055720749944,0.048565454314081956,7390,18
treatment,0,0.006562216627271509,0.0011009569420644238,0.004239400520380405,0.008885032734162614,7390,18
treatment,1,0.03874230937366869,0.004800623237014276,0.02861387968490802,0.04887073906242936,7390,18
treatment,2,0.0398587262243984,0.0028921918677997345,0.03375673476763208,0.04596071768116472,7390,18
treatment,3,0.04352439166238308,0.0034548678254897962,0.036235257704810064,0.0508135256199561,7390,18
treatment,4,0.04030824018037771,0.0031523593884953474,0.033657343235601545,0.04695913712515387,7390,18
