term,estimate,se,tvalue,pvalue_two_sided,ci_low,ci_high,pvalue_one_sided_positive,n,reference_df,cluster,n_clusters
post_X_treated,0.021376283828165893,0.018351138595693733,1.164847822204451,0.26016660603685726,-0.01734123425200696,0.06009380190833875,0.13008330301842863,79578,17.0,closure_event_id,18
post_X_incidence,-0.04579108189748106,0.007976442352806019,-5.740790175882396,2.4003784713455545e-05,-0.06261990422912063,-0.02896225956584149,0.9999879981076433,79578,17.0,closure_event_id,18
post_X_treated_X_incidence,-0.013049865958771483,0.020003746015514943,-0.6523711083239101,0.522885899081122,-0.055254080917326046,0.029154348999783076,0.738557050459439,79578,17.0,closure_event_id,18
post_X_baseline_novelty,-0.16654511058291327,0.0059056206873273655,-28.201118798621074,1.1102230246251565e-15,-0.17900488110581125,-0.15408534006001529,0.9999999999999994,79578,17.0,closure_event_id,18
post_X_treated_X_baseline_novelty,-0.026824522714792628,0.012826371949718023,-2.0913569963470726,0.05181891437460817,-0.053885802061392,0.0002367566318067435,0.9740905428126959,79578,17.0,closure_event_id,18
post_X_incidence_X_baseline_novelty,0.018898314842875276,0.005855283460501871,3.227566175123391,0.004945210076549467,0.0065447465852786595,0.03125188310047189,0.0024726050382747333,79578,17.0,closure_event_id,18
post_X_treated_X_incidence_X_baseline_novelty,0.02939350986366981,0.014742858982816942,1.993745575259755,0.062476748422152895,-0.0017112036800772147,0.06049822340741684,0.031238374211076447,79578,17.0,closure_event_id,18
post_X_baseline_log_orders,0.003208950586474758,0.01017292504073439,0.31544030587323607,0.7562667370729872,-0.018254045136597286,0.024671946309546798,0.3781333685364936,79578,17.0,closure_event_id,18
post_X_treated_X_baseline_log_orders,-0.03554252037429169,0.018939468110104423,-1.8766377264485767,0.07784166766344969,-0.07550130522886733,0.004416264480283948,0.9610791661682752,79578,17.0,closure_event_id,18
post_X_incidence_X_baseline_log_orders,-0.025442297855959792,0.011582918636136419,-2.196536007477843,0.04221124887914507,-0.04988012003125624,-0.0010044756806633429,0.9788943755604275,79578,17.0,closure_event_id,18
post_X_treated_X_incidence_X_baseline_log_orders,0.03245613339650301,0.018523818623069666,1.7521297339891873,0.09776817151449668,-0.006625707695408267,0.07153797448841429,0.04888408575724834,79578,17.0,closure_event_id,18
