event_fe_id,rel_t_history,product_window_choices,new_product_window_choices,window_novelty
38|46|2021-08-04,-9,2,1,0.5
38|46|2021-08-04,-5,3,1,0.3333333333333333
38|46|2021-08-04,-4,1,0,0.0
38|46|2021-08-04,-3,1,0,0.0
38|46|2021-08-04,-1,2,2,1.0
50|59|2021-08-03,-12,1,0,0.0
50|59|2021-08-03,-10,1,1,1.0
50|59|2021-08-03,-7,1,1,1.0
50|59|2021-08-03,-5,1,1,1.0
50|59|2021-08-03,-3,1,1,1.0
50|59|2021-08-03,-2,1,1,1.0
79|124|2021-07-22,-11,1,1,1.0
79|124|2021-07-22,-10,1,1,1.0
79|124|2021-07-22,-9,3,1,0.3333333333333333
79|124|2021-07-22,-8,1,1,1.0
79|124|2021-07-22,-7,1,1,1.0
79|124|2021-07-22,-6,1,0,0.0
79|124|2021-07-22,-1,2,1,0.5
85|133|2021-07-28,-9,2,2,1.0
85|133|2021-07-28,-7,1,1,1.0
85|133|2021-07-28,-6,1,1,1.0
85|133|2021-07-28,-5,1,0,0.0
85|133|2021-07-28,-4,1,1,1.0
85|133|2021-07-28,-2,3,3,1.0
101|133|2021-07-28,-11,4,4,1.0
101|133|2021-07-28,-10,2,0,0.0
101|133|2021-07-28,-8,2,1,0.5
101|133|2021-07-28,-7,4,3,0.75
101|133|2021-07-28,-6,4,3,0.75
101|133|2021-07-28,-3,3,2,0.6666666666666666
101|133|2021-07-28,-2,1,1,1.0
109|121|2021-08-03,-5,3,3,1.0
109|121|2021-08-03,-4,6,4,0.6666666666666666
109|121|2021-08-03,-3,4,1,0.25
109|121|2021-08-03,-2,4,0,0.0
109|121|2021-08-03,-1,1,0,0.0
135|62|2021-08-04,-10,2,1,0.5
135|62|2021-08-04,-5,2,2,1.0
135|62|2021-08-04,-3,2,1,0.5
185|47|2021-07-30,-11,3,3,1.0
185|47|2021-07-30,-9,1,0,0.0
185|47|2021-07-30,-8,1,0,0.0
185|47|2021-07-30,-7,1,0,0.0
185|47|2021-07-30,-6,1,0,0.0
185|47|2021-07-30,-5,1,0,0.0
185|47|2021-07-30,-4,1,0,0.0
185|47|2021-07-30,-3,1,0,0.0
185|47|2021-07-30,-2,1,0,0.0
185|47|2021-07-30,-1,1,0,0.0
233|62|2021-08-04,-9,1,1,1.0
233|62|2021-08-04,-8,2,1,0.5
233|62|2021-08-04,-5,1,1,1.0
233|62|2021-08-04,-3,5,4,0.8
233|62|2021-08-04,-1,1,0,0.0
248|46|2021-08-04,-12,1,1,1.0
248|46|2021-08-04,-2,1,1,1.0
259|124|2021-07-22,-12,1,0,0.0
259|124|2021-07-22,-5,2,1,0.5
259|124|2021-07-22,-1,2,1,0.5
287|46|2021-08-04,-12,2,0,0.0
287|46|2021-08-04,-9,1,0,0.0
287|46|2021-08-04,-6,1,0,0.0
287|46|2021-08-04,-4,1,0,0.0
287|46|2021-08-04,-3,1,0,0.0
302|220|2021-08-03,-4,4,2,0.5
302|220|2021-08-03,-3,1,0,0.0
302|220|2021-08-03,-1,1,1,1.0
316|121|2021-08-03,-12,1,0,0.0
316|121|2021-08-03,-10,1,0,0.0
316|121|2021-08-03,-9,1,1,1.0
316|121|2021-08-03,-7,4,2,0.5
316|121|2021-08-03,-6,6,2,0.3333333333333333
316|121|2021-08-03,-5,1,1,1.0
327|46|2021-08-04,-12,3,1,0.3333333333333333
327|46|2021-08-04,-10,5,3,0.6
327|46|2021-08-04,-9,3,2,0.6666666666666666
327|46|2021-08-04,-8,3,2,0.6666666666666666
327|46|2021-08-04,-7,1,1,1.0
327|46|2021-08-04,-6,2,1,0.5
327|46|2021-08-04,-5,5,3,0.6
327|46|2021-08-04,-4,5,1,0.2
327|46|2021-08-04,-3,3,1,0.3333333333333333
327|46|2021-08-04,-2,2,0,0.0
327|46|2021-08-04,-1,1,0,0.0
339|19|2021-07-15,-2,3,1,0.3333333333333333
397|47|2021-07-30,-6,1,1,1.0
397|47|2021-07-30,-5,1,0,0.0
397|47|2021-07-30,-1,2,1,0.5
435|121|2021-08-03,-7,1,1,1.0
435|121|2021-08-03,-5,1,0,0.0
435|121|2021-08-03,-4,1,1,1.0
435|121|2021-08-03,-2,2,2,1.0
454|3|2021-08-09,-12,1,0,0.0
454|3|2021-08-09,-11,1,0,0.0
454|3|2021-08-09,-6,1,0,0.0
454|3|2021-08-09,-5,2,1,0.5
465|5|2021-08-18,-12,11,5,0.45454545454545453
465|5|2021-08-18,-10,3,0,0.0
