event_fe_id,rel_t_history,orders,purchase_days
38|46|2021-08-04,-9,4,2
38|46|2021-08-04,-5,3,2
38|46|2021-08-04,-4,2,1
38|46|2021-08-04,-3,1,1
38|46|2021-08-04,-1,2,2
50|59|2021-08-03,-12,1,1
50|59|2021-08-03,-10,1,1
50|59|2021-08-03,-7,1,1
50|59|2021-08-03,-5,1,1
50|59|2021-08-03,-3,1,1
50|59|2021-08-03,-2,1,1
79|124|2021-07-22,-11,2,2
79|124|2021-07-22,-10,1,1
79|124|2021-07-22,-9,2,2
79|124|2021-07-22,-8,1,1
79|124|2021-07-22,-7,1,1
79|124|2021-07-22,-6,1,1
79|124|2021-07-22,-1,4,4
85|133|2021-07-28,-9,2,2
85|133|2021-07-28,-7,1,1
85|133|2021-07-28,-6,1,1
85|133|2021-07-28,-5,1,1
85|133|2021-07-28,-4,1,1
85|133|2021-07-28,-2,3,3
101|133|2021-07-28,-11,1,1
101|133|2021-07-28,-10,2,1
101|133|2021-07-28,-8,5,3
101|133|2021-07-28,-7,2,1
101|133|2021-07-28,-6,1,1
101|133|2021-07-28,-3,1,1
101|133|2021-07-28,-2,1,1
109|121|2021-08-03,-5,5,5
109|121|2021-08-03,-4,7,7
109|121|2021-08-03,-3,5,5
109|121|2021-08-03,-2,10,10
109|121|2021-08-03,-1,1,1
135|62|2021-08-04,-10,2,2
135|62|2021-08-04,-5,2,2
135|62|2021-08-04,-3,2,2
185|47|2021-07-30,-11,3,2
185|47|2021-07-30,-9,2,2
185|47|2021-07-30,-8,1,1
185|47|2021-07-30,-7,3,3
185|47|2021-07-30,-6,2,2
185|47|2021-07-30,-5,2,2
185|47|2021-07-30,-4,1,1
185|47|2021-07-30,-3,1,1
185|47|2021-07-30,-2,5,5
185|47|2021-07-30,-1,2,2
233|62|2021-08-04,-9,1,1
233|62|2021-08-04,-8,1,1
233|62|2021-08-04,-5,2,2
233|62|2021-08-04,-3,3,3
233|62|2021-08-04,-1,1,1
248|46|2021-08-04,-12,1,1
248|46|2021-08-04,-2,1,1
259|124|2021-07-22,-12,1,1
259|124|2021-07-22,-5,1,1
259|124|2021-07-22,-1,2,1
287|46|2021-08-04,-12,4,4
287|46|2021-08-04,-9,1,1
287|46|2021-08-04,-6,2,2
287|46|2021-08-04,-4,1,1
287|46|2021-08-04,-3,1,1
302|220|2021-08-03,-4,5,4
302|220|2021-08-03,-3,1,1
302|220|2021-08-03,-1,1,1
316|121|2021-08-03,-12,1,1
316|121|2021-08-03,-10,1,1
316|121|2021-08-03,-9,1,1
316|121|2021-08-03,-7,4,3
316|121|2021-08-03,-6,4,4
316|121|2021-08-03,-5,1,1
327|46|2021-08-04,-12,3,3
327|46|2021-08-04,-10,6,6
327|46|2021-08-04,-9,4,4
327|46|2021-08-04,-8,3,3
327|46|2021-08-04,-7,1,1
327|46|2021-08-04,-6,3,3
327|46|2021-08-04,-5,7,6
327|46|2021-08-04,-4,5,4
327|46|2021-08-04,-3,3,3
327|46|2021-08-04,-2,3,3
327|46|2021-08-04,-1,1,1
339|19|2021-07-15,-2,2,2
397|47|2021-07-30,-6,2,2
397|47|2021-07-30,-5,1,1
397|47|2021-07-30,-1,3,3
435|121|2021-08-03,-7,1,1
435|121|2021-08-03,-5,1,1
435|121|2021-08-03,-4,1,1
435|121|2021-08-03,-2,2,2
454|3|2021-08-09,-12,1,1
454|3|2021-08-09,-11,1,1
454|3|2021-08-09,-6,3,3
454|3|2021-08-09,-5,2,2
465|5|2021-08-18,-12,6,3
465|5|2021-08-18,-10,2,2
465|5|2021-08-18,-9,2,2
465|5|2021-08-18,-8,3,2
465|5|2021-08-18,-7,5,5
465|5|2021-08-18,-6,4,3
465|5|2021-08-18,-5,4,3
465|5|2021-08-18,-4,2,2
465|5|2021-08-18,-3,7,4
465|5|2021-08-18,-2,1,1
465|5|2021-08-18,-1,2,2
474|121|2021-08-03,-6,3,2
474|121|2021-08-03,-5,3,2
474|121|2021-08-03,-4,6,6
474|121|2021-08-03,-3,1,1
487|62|2021-08-04,-10,1,1
487|62|2021-08-04,-9,1,1
487|62|2021-08-04,-8,1,1
487|62|2021-08-04,-6,2,1
487|62|2021-08-04,-2,1,1
503|121|2021-08-03,-10,1,1
525|59|2021-08-03,-11,1,1
525|59|2021-08-03,-9,2,2
526|39|2021-07-25,-10,1,1
526|39|2021-07-25,-9,2,2
526|39|2021-07-25,-8,4,4
526|39|2021-07-25,-7,1,1
526|39|2021-07-25,-2,2,2
526|39|2021-07-25,-1,2,2
538|19|2021-07-15,-12,1,1
538|19|2021-07-15,-11,1,1
538|19|2021-07-15,-10,1,1
538|19|2021-07-15,-8,1,1
538|19|2021-07-15,-4,2,2
538|19|2021-07-15,-2,1,1
574|19|2021-07-15,-12,3,3
574|19|2021-07-15,-9,4,3
574|19|2021-07-15,-8,2,2
574|19|2021-07-15,-6,1,1
574|19|2021-07-15,-5,1,1
574|19|2021-07-15,-2,1,1
574|19|2021-07-15,-1,3,3
605|133|2021-07-28,-8,4,4
634|133|2021-07-28,-12,2,2
634|133|2021-07-28,-11,2,2
634|133|2021-07-28,-7,3,3
686|39|2021-07-25,-12,1,1
686|39|2021-07-25,-11,1,1
686|39|2021-07-25,-10,1,1
686|39|2021-07-25,-9,2,2
686|39|2021-07-25,-8,2,1
686|39|2021-07-25,-4,1,1
687|39|2021-07-25,-7,1,1
720|19|2021-07-15,-9,2,2
720|19|2021-07-15,-7,1,1
720|19|2021-07-15,-6,4,4
720|19|2021-07-15,-5,1,1
720|19|2021-07-15,-4,1,1
727|182|2021-08-03,-12,3,3
727|182|2021-08-03,-11,1,1
727|182|2021-08-03,-10,2,2
727|182|2021-08-03,-9,4,4
727|182|2021-08-03,-8,1,1
727|182|2021-08-03,-7,3,3
727|182|2021-08-03,-6,5,4
727|182|2021-08-03,-3,2,2
727|182|2021-08-03,-2,6,6
727|182|2021-08-03,-1,2,2
739|124|2021-07-22,-10,4,4
739|124|2021-07-22,-9,1,1
739|124|2021-07-22,-8,3,3
739|124|2021-07-22,-7,1,1
776|121|2021-08-03,-10,9,4
776|121|2021-08-03,-9,2,1
776|121|2021-08-03,-8,2,2
776|121|2021-08-03,-3,1,1
776|121|2021-08-03,-2,2,2
776|121|2021-08-03,-1,1,1
795|3|2021-08-09,-2,1,1
809|59|2021-08-03,-9,1,1
