member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
302,220,2021-08-03,2021-08-12,10,control,0,0.13615026,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.4,302|220|2021-08-03,-0.1779681378817187,-1.1194757759223313
345,220,2021-08-03,2021-08-12,10,control,0,0.010497979,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,345|220|2021-08-03,-0.3036204188817187,-1.1194757759223313
881,220,2021-08-03,2021-08-12,10,treatment,1,0.027019352,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,881|220|2021-08-03,-0.2870990458817187,-1.1194757759223313
919,220,2021-08-03,2021-08-12,10,treatment,1,0.63265216,1,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,919|220|2021-08-03,0.3185337621182813,-1.1194757759223313
1595,220,2021-08-03,2021-08-12,10,control,0,0.053523198,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,1595|220|2021-08-03,-0.2605951998817187,-1.1194757759223313
1627,220,2021-08-03,2021-08-12,10,control,0,0.11956792,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,1627|220|2021-08-03,-0.1945504778817187,-1.1194757759223313
2006,220,2021-08-03,2021-08-12,10,control,0,0.48476416,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,2006|220|2021-08-03,0.1706457621182813,-1.1194757759223313
2476,220,2021-08-03,2021-08-12,10,treatment,1,0.999537,1,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.8,2476|220|2021-08-03,0.6854186021182813,-1.1194757759223313
2567,220,2021-08-03,2021-08-12,10,control,0,0.6740241,1,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.2,2567|220|2021-08-03,0.3599057021182813,-1.1194757759223313
2759,220,2021-08-03,2021-08-12,10,treatment,1,0.07008853,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.2,2759|220|2021-08-03,-0.2440298678817187,-1.1194757759223313
3014,220,2021-08-03,2021-08-12,10,control,0,0.3045909,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.1,3014|220|2021-08-03,-0.009527497881718694,-1.1194757759223313
3642,220,2021-08-03,2021-08-12,10,control,0,0.026575098,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,3642|220|2021-08-03,-0.2875432998817187,-1.1194757759223313
4559,220,2021-08-03,2021-08-12,10,treatment,1,0.009245409,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,4559|220|2021-08-03,-0.3048729888817187,-1.1194757759223313
4694,220,2021-08-03,2021-08-12,10,treatment,1,0.0320736,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,4694|220|2021-08-03,-0.2820447978817187,-1.1194757759223313
4975,220,2021-08-03,2021-08-12,10,treatment,1,0.3980019,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.2,4975|220|2021-08-03,0.08388350211828133,-1.1194757759223313
5424,220,2021-08-03,2021-08-12,10,treatment,1,0.016918054,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,5424|220|2021-08-03,-0.2972003438817187,-1.1194757759223313
6047,220,2021-08-03,2021-08-12,10,control,0,0.17551754,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,6047|220|2021-08-03,-0.1386008578817187,-1.1194757759223313
6069,220,2021-08-03,2021-08-12,10,control,0,0.012453488,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,6069|220|2021-08-03,-0.3016649098817187,-1.1194757759223313
6896,220,2021-08-03,2021-08-12,10,control,0,0.031517353,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,6896|220|2021-08-03,-0.28260104488171867,-1.1194757759223313
7977,220,2021-08-03,2021-08-12,10,treatment,1,0.13604653,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.1,7977|220|2021-08-03,-0.1780718678817187,-1.1194757759223313
8256,220,2021-08-03,2021-08-12,10,control,0,0.006773215,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,8256|220|2021-08-03,-0.3073451828817187,-1.1194757759223313
8295,220,2021-08-03,2021-08-12,10,control,0,0.11962309,0,dept_220_closure_2021-08-03,2021-06-24,2021-06,-4,0,0.0,8295|220|2021-08-03,-0.1944953078817187,-1.1194757759223313
