spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,27072,0.013004523142170599,-0.005387050653594898,0.0024060866374579696,0.025225476071149,binary
binary_collapsed,post_X_disp,27072,0.013004523142170599,-0.0382503084644783,0.00435187570913753,0.0,binary
binary_collapsed,post_X_treated_X_disp,27072,0.013004523142170599,0.02355832055820489,0.01353328848400211,0.08181510387538582,binary
score_collapsed,post_X_treated,27072,0.015011456170122228,0.000854050963836017,0.004440062730734968,0.8474787364129861,score
score_collapsed,post_X_score,27072,0.015011456170122228,-0.055046236419217305,0.006012417935572988,0.0,score
score_collapsed,post_X_treated_X_score,27072,0.015011456170122228,0.019195976803447822,0.018524309875675684,0.3001555439322585,score
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",27072,0.00015527879167798186,0.0029393173198487836,0.005249715624637342,0.5755845183037667,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",27072,0.00015527879167798186,0.006933111136651452,0.0054281618656485155,0.20160220977204713,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",27072,0.00015527879167798186,0.010132934911696454,0.0059357875465906665,0.08789673321170888,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",27072,0.00015527879167798186,0.0007010688426622395,0.005422112178408035,0.8971294553797615,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",27072,0.00015527879167798186,0.006763590391909471,0.006484797711772651,0.2970266473967107,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",27072,0.00015527879167798186,0.008601980615255453,0.005279723752615934,0.10335358293831853,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",27072,0.00015527879167798186,0.003924836225721669,0.0051418136238880795,0.44532730463315096,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",27072,0.025406720888559886,-0.0014852797844288749,0.00456906333847138,0.7451458152840553,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated",27072,0.025406720888559886,0.0035259717922251654,0.0052299523579618585,0.5002377797675712,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",27072,0.025406720888559886,-0.0020908582731341634,0.003950088813805268,0.596618694640398,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",27072,0.025406720888559886,-0.007394149180140269,0.003773884426897544,0.050160375583465866,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",27072,0.025406720888559886,-0.004319673775943516,0.004605926583786602,0.34838783344839275,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated",27072,0.025406720888559886,-0.002923976608187498,0.004478569921879322,0.5138768730787284,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated",27072,0.025406720888559886,-0.006960569315445815,0.004378571377502897,0.11199823318548519,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",27072,0.025406720888559886,0.019850726521784087,0.017765191924332586,0.26390506276683023,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",27072,0.025406720888559886,0.01564943580098083,0.016260140130398396,0.3358965957910698,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",27072,0.025406720888559886,0.05572166813898071,0.018611578300738674,0.002774073509655306,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",27072,0.025406720888559886,0.035987430067915126,0.020723869651159424,0.08256282649294988,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",27072,0.025406720888559886,0.04970835997668162,0.02399441566336955,0.03837243423246295,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",27072,0.025406720888559886,0.05136961184552346,0.018005211864778513,0.004356598661727995,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",27072,0.025406720888559886,0.04838971080444433,0.017652401185519542,0.006152693029391143,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",27072,0.025406720888559886,-0.0009244425579045617,0.006737624042976658,0.8908761199656341,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",27072,0.025406720888559886,0.02197438565742871,0.00652254550070259,0.0007628885141166553,event_study
