group,rel_t,mean,std
control,-4,0.3426784052244758,0.36747905244597623
control,-3,0.2914149329436132,0.32992673741745326
control,-2,0.25966671993238916,0.3190378624786604
control,-1,0.22320950738653708,0.307882516065039
control,0,0.2074181889357874,0.30520410380813584
control,1,0.22989741182944456,0.30003992858087963
control,2,0.3251267941210351,0.3431429692211912
control,3,0.25424432568435795,0.3288309387134132
control,4,0.22274509863695524,0.319283618320224
treatment,-4,0.3818442058025008,0.3708458322048127
treatment,-3,0.3587507572376202,0.35993868488091896
treatment,-2,0.3193291499975997,0.35140778498854347
treatment,-1,0.2921936842932933,0.33775104692737734
treatment,0,0.0,0.0
treatment,1,0.32339690299315804,0.33610839279521354
treatment,2,0.4358635061858696,0.36588767108794257
treatment,3,0.2945094562798655,0.33077027303406353
treatment,4,0.2250354323815383,0.3183554617291278
