group,rel_t,mean,std
control,-4,0.5087392210227442,0.4277818721507264
control,-3,0.4943985352657627,0.4279816603982984
control,-2,0.4798627894670258,0.42729345804197294
control,-1,0.4404299591198923,0.42752003008494766
control,0,0.10463262634214217,0.27862163481853097
control,1,0.4203842974683668,0.421834209424606
control,2,0.48702197644833506,0.4213835172284445
control,3,0.45850316686893444,0.42778285830092666
control,4,0.4415508639635916,0.4282539767569494
treatment,-4,0.534068849439863,0.42070855307588906
treatment,-3,0.5126129133010637,0.41791179168912473
treatment,-2,0.5029240727878468,0.4261707557889922
treatment,-1,0.48087829700241186,0.4226908078241938
treatment,0,0.030704612504538358,0.1593415285316841
treatment,1,0.48601108421761774,0.4129578839111672
treatment,2,0.5217137516479622,0.41499905353582794
treatment,3,0.4678142406175879,0.4212590478850766
treatment,4,0.44192240554085255,0.42294393812054704
