member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
135,62,2021-08-04,2021-08-17,14,control,0,0.20108621,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,135|62|2021-08-04,-0.1066937629602418,-0.5109357280625717
233,62,2021-08-04,2021-08-17,14,control,0,0.23812963,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,233|62|2021-08-04,-0.06965034296024178,-0.5109357280625717
487,62,2021-08-04,2021-08-17,14,control,0,0.12630045,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,487|62|2021-08-04,-0.18147952296024178,-0.5109357280625717
1611,62,2021-08-04,2021-08-17,14,control,0,0.3663961,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,1611|62|2021-08-04,0.058616127039758215,-0.5109357280625717
2462,62,2021-08-04,2021-08-17,14,control,0,0.13199414,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,2462|62|2021-08-04,-0.17578583296024178,-0.5109357280625717
2670,62,2021-08-04,2021-08-17,14,control,0,0.66262716,1,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,2670|62|2021-08-04,0.3548471870397582,-0.5109357280625717
3205,62,2021-08-04,2021-08-17,14,control,0,0.31161967,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,3205|62|2021-08-04,0.0038396970397582275,-0.5109357280625717
3761,62,2021-08-04,2021-08-17,14,control,0,0.6189092,1,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,3761|62|2021-08-04,0.31112922703975826,-0.5109357280625717
3804,62,2021-08-04,2021-08-17,14,control,0,0.031214152,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,3804|62|2021-08-04,-0.2765658209602418,-0.5109357280625717
3805,62,2021-08-04,2021-08-17,14,control,0,0.011448034,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,3805|62|2021-08-04,-0.2963319389602418,-0.5109357280625717
4436,62,2021-08-04,2021-08-17,14,control,0,0.26639307,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.07142857142857142,4436|62|2021-08-04,-0.04138690296024178,-0.5109357280625717
4767,62,2021-08-04,2021-08-17,14,control,0,0.2857198,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.07142857142857142,4767|62|2021-08-04,-0.022060172960241764,-0.5109357280625717
5278,62,2021-08-04,2021-08-17,14,control,0,0.9340735,1,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.6428571428571429,5278|62|2021-08-04,0.6262935270397583,-0.5109357280625717
5441,62,2021-08-04,2021-08-17,14,control,0,0.5651532,1,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,5441|62|2021-08-04,0.25737322703975823,-0.5109357280625717
5485,62,2021-08-04,2021-08-17,14,control,0,0.037354104,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,5485|62|2021-08-04,-0.2704258689602418,-0.5109357280625717
5710,62,2021-08-04,2021-08-17,14,control,0,0.04857479,0,dept_62_closure_2021-08-04,2021-06-09,2021-06,-4,0,0.0,5710|62|2021-08-04,-0.2592051829602418,-0.5109357280625717
