spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,10821,0.0001472174268366544,0.014695804679093883,0.03364856795650836,0.6623394174245372,binary
binary_collapsed,post_X_disp,10821,0.0001472174268366544,0.023477157510082617,0.023525837779519342,0.31842119818796255,binary
binary_collapsed,post_X_treated_X_disp,10821,0.0001472174268366544,-0.025624594741288788,0.03802572308703507,0.5004604507101797,binary
score_collapsed,post_X_treated,10821,4.3692251949667416e-05,0.0001684073570306122,0.02957973527185167,0.9954579092848905,score
score_collapsed,post_X_score,10821,4.3692251949667416e-05,-0.010155261979112385,0.0353327190681094,0.7738189307996444,score
score_collapsed,post_X_treated_X_score,10821,4.3692251949667416e-05,-0.00897552627967747,0.0564794806619247,0.873748982765548,score
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",10821,0.0020544550634337133,-0.002320556560540352,0.02819462420155363,0.9344116209359163,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",10821,0.0020544550634337133,0.006025491238540602,0.028666372567010406,0.8335356898493611,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",10821,0.0020544550634337133,0.0019373690826578972,0.027134597725564112,0.943087020227025,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",10821,0.0020544550634337133,0.07166868879508817,0.02874695579116076,0.012735753876801592,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",10821,0.0020544550634337133,-0.03798103508864097,0.030622060062739924,0.21498897178401988,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",10821,0.0020544550634337133,-0.028918576277073227,0.02966066931452939,0.32967564581172226,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",10821,0.0020544550634337133,-0.019872857820672087,0.029168076482063265,0.4957383882594524,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",10821,0.003989730186055862,-0.06564260414572032,0.06785382803414332,0.3334430425739239,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated",10821,0.003989730186055862,-0.055154223100287024,0.0654821132993298,0.3997220026681163,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",10821,0.003989730186055862,-0.011338529099132095,0.06527866879039239,0.86212152546657,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",10821,0.003989730186055862,0.10176772661017844,0.06309718038880927,0.10691363823543809,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",10821,0.003989730186055862,-0.09183579926714705,0.06523482974876055,0.15933782477676361,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated",10821,0.003989730186055862,-0.01253818520870748,0.0655042624334507,0.8482216401424836,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated",10821,0.003989730186055862,-0.08504663665605,0.06554610158733841,0.19459042018040273,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",10821,0.003989730186055862,0.07582738453379431,0.07446172805668427,0.3086266901404544,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",10821,0.003989730186055862,0.07418287320139409,0.07286618512705378,0.3087551535350055,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",10821,0.003989730186055862,0.015832881745777502,0.07174372536355197,0.8253566365405463,event_study
