member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,variety_seeking,event_fe_id,displacement_prob_centered,closure_length_std
727,182,2021-08-03,2021-08-20,18,treatment,1,0.52666354,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,727|182|2021-08-03,0.21888356703975825,0.13878705194047303
1167,182,2021-08-03,2021-08-20,18,control,0,0.4430958,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,1.0,1167|182|2021-08-03,0.1353158270397582,0.13878705194047303
1270,182,2021-08-03,2021-08-20,18,control,0,0.6869659,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,1.0,1270|182|2021-08-03,0.37918592703975823,0.13878705194047303
2204,182,2021-08-03,2021-08-20,18,treatment,1,0.7715307,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,1.0,2204|182|2021-08-03,0.4637507270397582,0.13878705194047303
2264,182,2021-08-03,2021-08-20,18,control,0,0.49539798,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,1.0,2264|182|2021-08-03,0.18761800703975823,0.13878705194047303
2516,182,2021-08-03,2021-08-20,18,treatment,1,0.10814629,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,2516|182|2021-08-03,-0.19963368296024178,0.13878705194047303
2565,182,2021-08-03,2021-08-20,18,control,0,0.03329822,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,2565|182|2021-08-03,-0.2744817529602418,0.13878705194047303
2661,182,2021-08-03,2021-08-20,18,control,0,0.8884216,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,2661|182|2021-08-03,0.5806416270397583,0.13878705194047303
2800,182,2021-08-03,2021-08-20,18,control,0,0.048136268,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,2800|182|2021-08-03,-0.2596437049602418,0.13878705194047303
3529,182,2021-08-03,2021-08-20,18,control,0,0.41901156,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,3529|182|2021-08-03,0.11123158703975822,0.13878705194047303
4246,182,2021-08-03,2021-08-20,18,control,0,0.115556195,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,4246|182|2021-08-03,-0.1922237779602418,0.13878705194047303
4289,182,2021-08-03,2021-08-20,18,control,0,0.3051773,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,4289|182|2021-08-03,-0.002602672960241803,0.13878705194047303
5045,182,2021-08-03,2021-08-20,18,control,0,0.6152892,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.5,5045|182|2021-08-03,0.3075092270397582,0.13878705194047303
5382,182,2021-08-03,2021-08-20,18,control,0,0.072594605,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,5382|182|2021-08-03,-0.23518536796024178,0.13878705194047303
5970,182,2021-08-03,2021-08-20,18,control,0,0.08181651,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,5970|182|2021-08-03,-0.22596346296024178,0.13878705194047303
6341,182,2021-08-03,2021-08-20,18,control,0,0.18183368,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,1.0,6341|182|2021-08-03,-0.1259462929602418,0.13878705194047303
6495,182,2021-08-03,2021-08-20,18,control,0,0.37560883,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,1.0,6495|182|2021-08-03,0.06782885703975822,0.13878705194047303
6845,182,2021-08-03,2021-08-20,18,control,0,0.12407828,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,6845|182|2021-08-03,-0.1837016929602418,0.13878705194047303
7147,182,2021-08-03,2021-08-20,18,control,0,0.104383625,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,7147|182|2021-08-03,-0.2033963479602418,0.13878705194047303
7179,182,2021-08-03,2021-08-20,18,control,0,0.061286688,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,7179|182|2021-08-03,-0.24649328496024178,0.13878705194047303
7184,182,2021-08-03,2021-08-20,18,control,0,0.19895959,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,,7184|182|2021-08-03,-0.1088203829602418,0.13878705194047303
