group,rel_t,mean,std
control,-4,0.5088642659279778,0.42995981693249913
control,-3,0.4453926567259901,0.424721654913939
control,-2,0.399622453569822,0.4293305694034042
control,-1,0.4403937553169799,0.4309433210334639
control,0,0.09880282134380496,0.26726515711158666
control,1,0.4358844165899915,0.4182017812556535
control,2,0.5551158652222482,0.4127523530544439
control,3,0.41332747510251905,0.43099039323162686
control,4,0.40328119148445823,0.4303362413640957
treatment,-4,0.5924812030075188,0.45104847069733783
treatment,-3,0.6042723631508679,0.4340192011883174
treatment,-2,0.30043859649122806,0.42954838428985503
treatment,-1,0.45108843537414967,0.43504500144279307
treatment,0,0.022887323943661973,0.13629469928068155
treatment,1,0.5291666666666667,0.43411035162228157
treatment,2,0.6989898989898989,0.3988209803106554
treatment,3,0.6095238095238096,0.43649787057693185
treatment,4,0.5656716417910448,0.4470995245170341
