group,rel_t,mean,std
control,-4,0.5207210994532306,0.4263143715458684
control,-3,0.502731867378547,0.4273184741016257
control,-2,0.4922270396684857,0.42690708714866515
control,-1,0.4480498485479722,0.42800213889267813
control,0,0.10795710526835928,0.28239653236516404
control,1,0.43051287142839084,0.42181957271324205
control,2,0.49442916989558783,0.4207256607946635
control,3,0.46299381514889865,0.4276167432102159
control,4,0.4459349317368964,0.42934325885980906
treatment,-4,0.5436008005686095,0.416979832273288
treatment,-3,0.5189122000701529,0.4153285139787988
treatment,-2,0.5116430777189575,0.4242752061308856
treatment,-1,0.4915226427046375,0.4222425135297961
treatment,0,0.03094204660172184,0.1596307614242779
treatment,1,0.49729382913567527,0.41042944156627853
treatment,2,0.5289871510543742,0.41282540416038777
treatment,3,0.4741329775798215,0.41964158396731405
treatment,4,0.4432443814454168,0.4207658097900646
