member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
934,8,2021-05-27,2021-06-10,15,control,0,0.042079423,0,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.0,934|8|2021-05-27,-0.2657005499602418,-0.3485050330618105
2295,8,2021-05-27,2021-06-10,15,control,0,0.64909875,1,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.0,2295|8|2021-05-27,0.34131877703975816,-0.3485050330618105
3869,8,2021-05-27,2021-06-10,15,control,0,0.58737767,1,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.2,3869|8|2021-05-27,0.2795976970397582,-0.3485050330618105
6344,8,2021-05-27,2021-06-10,15,control,0,0.002515831,0,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.0,6344|8|2021-05-27,-0.30526414196024176,-0.3485050330618105
6672,8,2021-05-27,2021-06-10,15,control,0,0.011204129,0,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.0,6672|8|2021-05-27,-0.2965758439602418,-0.3485050330618105
9295,8,2021-05-27,2021-06-10,15,control,0,0.71805346,1,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.0,9295|8|2021-05-27,0.41027348703975824,-0.3485050330618105
11867,8,2021-05-27,2021-06-10,15,treatment,1,0.55095875,1,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.0,11867|8|2021-05-27,0.24317877703975826,-0.3485050330618105
13707,8,2021-05-27,2021-06-10,15,control,0,0.003949693,0,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.0,13707|8|2021-05-27,-0.3038302799602418,-0.3485050330618105
14712,8,2021-05-27,2021-06-10,15,control,0,0.0013386065,0,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.06666666666666667,14712|8|2021-05-27,-0.3064413664602418,-0.3485050330618105
15556,8,2021-05-27,2021-06-10,15,control,0,0.020419661,0,dept_8_closure_2021-05-27,2021-03-28,2021-03,-4,0,0.13333333333333333,15556|8|2021-05-27,-0.2873603119602418,-0.3485050330618105
