group,rel_t,mean,std
control,-4,0.551488989535208,0.41696845583621095
control,-3,0.5152697700903979,0.4262926318529882
control,-2,0.47831224870059824,0.4250910760608046
control,-1,0.4137051174636521,0.42872864802567845
control,0,0.12611097706213006,0.30114135002566594
control,1,0.4234303686072175,0.41689503909042547
control,2,0.49956656251574116,0.4128277472194298
control,3,0.4923350041771094,0.43543646821242216
control,4,0.40852756196818346,0.4321567786333254
treatment,-4,0.5462947582133629,0.40871798820249594
treatment,-3,0.49160714285714285,0.4008976444075698
treatment,-2,0.4595873015873016,0.42193856528654106
treatment,-1,0.46904761904761905,0.43991409709536844
treatment,0,0.026468155500413565,0.15096799974288674
treatment,1,0.42132768361581924,0.41888517984041285
treatment,2,0.5048245614035087,0.4222762432177414
treatment,3,0.5372628726287263,0.4151122990948403
treatment,4,0.46186726659167604,0.41664776809014376
