spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,5800,0.003622771963547433,0.012720411957357526,0.06781663213320599,0.8512390088349415,binary
binary_collapsed,post_X_disp,5800,0.003622771963547433,0.08614175545378516,0.024149580561943718,0.0003726255466991457,binary
binary_collapsed,post_X_treated_X_disp,5800,0.003622771963547433,0.005894100058605362,0.08576238137493844,0.9452170871149597,binary
score_collapsed,post_X_treated,5800,0.004510190750808496,0.02918090056291031,0.056935557139978235,0.6083603153045725,score
score_collapsed,post_X_score,5800,0.004510190750808496,0.1754653727225715,0.04144036017314514,2.4357806468255916e-05,score
score_collapsed,post_X_treated_X_score,5800,0.004510190750808496,-0.04509806953124082,0.15285120592719376,0.7680005993813115,score
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",5800,0.00198642248143166,0.051084342813483716,0.07404367720764125,0.49035193345955874,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",5800,0.00198642248143166,-0.05397396812571017,0.07422109242756766,0.467215631972429,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",5800,0.00198642248143166,-0.05810398084827039,0.07263598432050064,0.42387794679286994,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",5800,0.00198642248143166,0.04901988756424891,0.08784975991148822,0.5769312290359014,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",5800,0.00198642248143166,0.0489214722589187,0.08549170504507274,0.5672489795754592,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",5800,0.00198642248143166,-0.10678827698041823,0.09338403227723271,0.2530004548611422,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",5800,0.00198642248143166,0.021063247022450583,0.08488648669054673,0.8040650547881691,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",5800,0.007639537875515079,0.07741041866082586,0.10619194924973029,0.4661376219111508,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated",5800,0.007639537875515079,-0.09408008247999648,0.09882929652750765,0.34128069526625815,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",5800,0.007639537875515079,-0.021415948485444303,0.09872412687895611,0.8282950788466796,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",5800,0.007639537875515079,0.0877966252165695,0.13906343843030394,0.5279145845742308,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",5800,0.007639537875515079,0.10349989901158413,0.1000902342996046,0.30127486025888217,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated",5800,0.007639537875515079,-0.09295090400573568,0.11608740675205886,0.4234357009075178,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated",5800,0.007639537875515079,-0.0422716923507506,0.1266881795194576,0.7386781173035462,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",5800,0.007639537875515079,-0.05478574016640257,0.14287743238677603,0.7014445665080506,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",5800,0.007639537875515079,0.0674658825135847,0.139626253148486,0.6290331915251017,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",5800,0.007639537875515079,-0.07360085229866074,0.13780666560865595,0.5933613052063529,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",5800,0.007639537875515079,-0.07415164703546988,0.17639400992365714,0.67427269798308,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",5800,0.007639537875515079,-0.12679146527116528,0.16599085044948764,0.4450811198817397,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",5800,0.007639537875515079,-0.025561815634145443,0.18005009252018805,0.887122634167351,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",5800,0.007639537875515079,0.10974116993403724,0.1655509637101909,0.5075080928398235,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",5800,0.007639537875515079,0.05156150874896781,0.04744479120156297,0.27731665584993914,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",5800,0.007639537875515079,0.03040993476889981,0.04690014094565292,0.5168288035265451,event_study
