dept_id,closure_start,closure_end,closure_duration_days,window_days,#treatment,#control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,latitude,longitude,address
251,2020-06-20,2020-09-08,81,28,31,2106,0.0,0.9605887939221273,0.0,31.939133554341296,118.89433822746835,江宁区经贸学院路8号保利樾广场1栋102室商场外一层店铺
154,2020-06-24,2020-09-02,71,28,794,2593,0.015113350125944584,0.9456228306980332,0.01598242939501399,,,
164,2020-06-28,2020-09-06,71,28,1362,2980,0.03303964757709251,0.9335570469798657,0.03539113938883382,31.904467592401147,118.90545898019025,江宁区弘景大道99号金陵科技学院北区第一食堂二层
111,2020-06-29,2020-09-02,66,28,2233,3119,0.018360949395432154,0.9307470343058672,0.01972711028741057,31.89171411801545,118.89763824258982,江宁区弘景大道3666号中国传媒大学南广学院三食堂一层中超华城超市
93,2020-06-30,2020-09-04,67,28,830,3328,0.01566265060240964,0.9290865384615384,0.01685811811281348,32.12675700212732,118.94568599923257,栖霞区仙林大学城羊山北路1号南京工业职业技术学院五号食堂二层
141,2020-07-01,2020-09-02,64,28,912,3533,0.017543859649122806,0.9278233795641099,0.018908619932992945,,,
179,2020-07-03,2020-09-04,64,28,836,3947,0.0215311004784689,0.9252596909044845,0.023270332307918057,31.91817538805172,118.9228358918058,江宁区江宁大学城龙眠大道629号交通职业技术学院第一食堂一层
146,2020-07-04,2020-08-31,59,28,2072,4146,0.02364864864864865,0.9206464061746261,0.025687004793633037,32.118202107101666,118.93818416008818,栖霞区文苑路9号南京邮电大学仙林校区图书馆一层G01室
170,2020-07-06,2020-08-09,35,28,1775,4295,0.015211267605633802,0.8852153667054715,0.017183691311466905,31.889269794719745,118.81960828192386,江宁区东南大学路2号东南大学九龙湖校区橘园餐厅一层
148,2020-07-07,2020-09-09,65,28,494,4484,0.020242914979757085,0.9181534344335415,0.02204742063862783,32.240742982713336,118.75814882401714,葛关路625号南京科技职业学院第一食堂二层
162,2020-07-16,2020-09-10,57,28,1219,5956,0.026251025430680888,0.8980859637340497,0.02922996961397184,32.09816208518045,118.66287112806792,浦口区佛寺三宫48号江苏警官学院训练中心一层
159,2020-07-18,2020-08-30,44,28,1973,6297,0.017232640648758235,0.8735905986977927,0.019726220353614,32.11107232016998,118.92144576402912,栖霞区笃学路南京师范大学仙林校区西区大众书店二层
239,2020-09-05,2020-09-23,19,28,5,13671,0.0,0.6224124058225441,0.0,32.05209669717989,118.79981708441966,玄武区石婆婆庵杨将军巷9号曼度文化广场一层南13-13A
101,2020-09-12,2020-10-08,27,28,321,14711,0.1526479750778816,0.639793351913534,0.23858949865817217,31.99668091023233,118.72611776478676,建邺区江东中路369号新华传媒广场1号楼一层
64,2020-10-11,2020-10-21,11,28,300,17976,0.10333333333333333,0.4460947930574099,0.23163985534355905,,,
64,2020-10-31,2020-11-10,11,28,300,20786,0.12333333333333334,0.41600115462330417,0.2964735361011526,,,
171,2020-12-28,2021-03-05,68,28,1225,28122,0.014693877551020407,0.6414550885427779,0.022907102638161533,32.093733992419935,118.92329995643226,栖霞区仙林大学城仙林大道100号南京审计大学金审学院学生第四食堂一层
141,2021-01-09,2021-02-28,51,28,912,29375,0.023026315789473683,0.5731744680851064,0.04017331034719899,,,
111,2021-01-09,2021-03-07,58,28,2233,29375,0.012987012987012988,0.5965276595744681,0.021771015607687412,31.89171411801545,118.89763824258982,江宁区弘景大道3666号中国传媒大学南广学院三食堂一层中超华城超市
166,2021-01-12,2021-03-06,54,28,593,29630,0.02023608768971332,0.5831589605129935,0.03470080897310063,32.05198131995538,118.8944056003816,栖霞区马群街道马群街169号二层E1E2号
187,2021-01-12,2021-03-07,55,28,1120,29630,0.027678571428571427,0.5849139385757678,0.04732075883841506,31.96380239227237,118.7598607248275,雨花台区铁心桥街道龙西路310号三江学院主校区5号食堂二层
162,2021-01-14,2021-02-28,46,28,1219,29886,0.01394585726004922,0.5459077829083852,0.025546177755061662,32.09816208518045,118.66287112806792,浦口区佛寺三宫48号江苏警官学院训练中心一层
90,2021-01-14,2021-02-28,46,28,892,29886,0.008968609865470852,0.5459077829083852,0.01642880014952264,32.1804263792797,118.71550015298102,浦口区学府路8号南京大学金陵学院第一学生餐厅三层教工食堂
172,2021-01-14,2021-02-23,41,28,1266,29886,0.011848341232227487,0.527604898614736,0.022456844626227213,32.21228598545819,118.72652074463852,浦口区宁六路219号南京信息工程大学东苑食堂三层
148,2021-01-14,2021-03-02,48,28,494,29886,0.016194331983805668,0.5547748109482701,0.029190820607238613,32.240742982713336,118.75814882401714,葛关路625号南京科技职业学院第一食堂二层
154,2021-01-14,2021-02-26,44,28,794,29886,0.006297229219143577,0.5405206451181155,0.011650302862654758,,,
179,2021-01-16,2021-02-27,43,28,836,30165,0.008373205741626795,0.5287253439416543,0.015836588575846276,31.91817538805172,118.9228358918058,江宁区江宁大学城龙眠大道629号交通职业技术学院第一食堂一层
163,2021-01-16,2021-02-28,44,28,2624,30165,0.010670731707317074,0.5316426321896237,0.020071249108388076,31.928509009302022,118.88784374812288,江宁区弘景大道1号工程学院生活服务中心一层
164,2021-01-16,2021-02-28,44,28,1362,30165,0.01762114537444934,0.5316426321896237,0.033144718477287796,31.904467592401147,118.90545898019025,江宁区弘景大道99号金陵科技学院北区第一食堂二层
146,2021-01-16,2021-03-07,51,28,2072,30165,0.012065637065637066,0.5629703298524781,0.021432101170942297,32.118202107101666,118.93818416008818,栖霞区文苑路9号南京邮电大学仙林校区图书馆一层G01室
100,2021-01-18,2021-03-02,44,28,2353,30337,0.027199320016999574,0.5338036061574974,0.05095379593403212,32.12025541386233,118.96053400117644,栖霞区仙林大道163号南京大学仙林校区诚园5幢底商
93,2021-01-18,2021-03-04,46,28,830,30337,0.014457831325301205,0.5455384513959851,0.026501947366505296,32.12675700212732,118.94568599923257,栖霞区仙林大学城羊山北路1号南京工业职业技术学院五号食堂二层
186,2021-01-18,2021-02-28,42,28,700,30337,0.011428571428571429,0.523090615420114,0.02184816758639936,31.924348379627663,118.91368727900054,江宁区淳化街道江苏海事职业技术学院念稼餐厅二层
89,2021-01-20,2021-02-27,39,28,1098,30579,0.011839708561020037,0.5053141044507669,0.023430393999963224,32.13227286342762,118.94076400368228,栖霞区文澜路89号南京理工大学紫金学院五食堂一层
253,2021-01-20,2021-02-28,40,28,208,30579,0.019230769230769232,0.5087478334804931,0.03780019877275133,31.70727797309676,118.88820001608816,江宁区禄口街道航金大道金城商业街5-013号底商
144,2021-01-20,2021-03-07,47,28,2357,30579,0.01103097157403479,0.5456031917328886,0.020217938130089298,32.1147999846995,118.93058970564572,栖霞区文苑路3号南京财经大学仙林校区图书馆一层
183,2021-01-23,2021-02-27,36,28,2176,30936,0.014246323529411764,0.48277088182053274,0.029509492112881307,31.90772304149415,118.92223088304485,江宁区淳化街道中国药科大学江宁校区图书馆二层
185,2021-01-23,2021-02-28,37,28,1608,30936,0.01181592039800995,0.4864882337729506,0.02428819358357713,31.923603575827148,118.7948822431006,江宁区佛城东路8号河海大学江宁校区生活组团二三期食堂四层
170,2021-01-23,2021-02-28,37,28,1775,30936,0.017464788732394366,0.4864882337729506,0.03589971456646858,31.889269794719745,118.81960828192386,江宁区东南大学路2号东南大学九龙湖校区橘园餐厅一层
159,2021-01-23,2021-02-28,37,28,1973,30936,0.010643689812468323,0.4864882337729506,0.021878617145416616,32.11107232016998,118.92144576402912,栖霞区笃学路南京师范大学仙林校区西区大众书店二层
254,2021-01-30,2021-02-21,23,28,115,31632,0.034782608695652174,0.3720599393019727,0.09348657305300957,32.0785968193686,118.67312726173644,江北新区浦滨路150号中科创新广场5栋一层大堂
228,2021-02-04,2021-02-20,17,28,183,32065,0.02185792349726776,0.30007796663028224,0.07284081448138544,32.02617176916821,118.85912941249644,玄武区友谊河路100号品硕广场一层S05号
