dept_id,address,半径500m内店铺数(咖啡厅),半径1500m内店铺数(咖啡厅),latitude,longitude,geocode_status,within_nanjing_bounds,normalized_address
1,六合区雄州西路8号欢乐港二期,2,7,32.34181073008831,118.84126660743053,ok,True,南京市六合区雄州西路8号欢乐港二期
2,玄武区中山门大街301号森林摩尔商业街负一层37号,3,11,32.044370153753334,118.87306123265068,ok,True,南京市玄武区中山门大街301号森林摩尔商业街负一层37号
3,高淳区淳溪街道镇北路27-2号,2,5,31.32987258116175,118.87437051293148,ok,False,南京市高淳区淳溪街道镇北路27-2号
4,南京市浦口区公园北路3-8号,1,24,32.0698976121905,118.63959881705149,ok,True,南京市浦口区公园北路3-8号
5,浦口区江浦街道龙华路8号金盛田广场二层,7,23,32.075200167866996,118.64618097101476,ok,True,南京市浦口区江浦街道龙华路8号金盛田广场二层
6,雨花台区雨花街道雨花东路158号紫荆广场·花漫里负一层111、115号铺,3,10,31.99871921206662,118.80051111525668,ok,True,南京市雨花台区雨花街道雨花东路158号紫荆广场·花漫里负一层111、115号铺
7,溧水区通济街12号,4,9,31.661134683910117,119.03654645749755,ok,True,南京市溧水区通济街12号
8,江宁区麒麟街道悦民路128号天赋广场22幢116室,3,3,32.05444453058177,118.93409345645685,ok,True,南京市江宁区麒麟街道悦民路128号天赋广场22幢116室
9,南京市浦口区公园北路3-8号,1,24,32.0698976121905,118.63959881705149,ok,True,南京市浦口区公园北路3-8号
10,雨花台区古雄街道古雄大道211号吾悦广场负一层B1040号,4,5,31.916795169255135,118.65914675342357,ok,True,南京市雨花台区古雄街道古雄大道211号吾悦广场负一层B1040号
11,鼓楼区挹江门街道南京财经大学科技楼A座102-2,3,15,32.09159442956325,118.76592608363087,ok,True,鼓楼区挹江门街道南京财经大学科技楼A座102-2
12,秦淮区淮海路50号-1扬子大厦一层大堂,65,270,32.04358998745236,118.79194002306377,ok,True,南京市秦淮区淮海路50号-1扬子大厦一层大堂
