term,estimate,std_error,t_value,p_value,model,group,n_obs,r_squared,adj_r_squared
new_products_lag1,0.000743648636958253,0.000899706449498797,0.826545855453766,0.408494632718073,Model_A,push_0,1746412,0.213713409645189,0.195099983559364
removed_customer_lag1,0.0219213623939134,0.0011913899730516,18.3998211247024,1.34044506256003e-75,Model_A,push_0,1746412,0.213713409645189,0.195099983559364
new_products_lag1,0.00084664875434055,0.000402272894045667,2.10466269756778,0.0353207212701121,Model_A,push_1,6163008,0.220576157421993,0.198503357714221
removed_customer_lag1,0.0192965644291496,0.000512060821101093,37.6841258576585,1.11745363981901e-308,Model_A,push_1,6163008,0.220576157421993,0.198503357714221
new_products_lag1,0.00104578965652334,0.000369651272670122,2.82912499927088,0.00466755852929443,Model_A_with_pushes,combined,7909420,0.223538606809337,0.202374152863428
removed_customer_lag1,0.0123837605523668,0.000475753240302133,26.0297975994917,2.31276206255852e-149,Model_A_with_pushes,combined,7909420,0.223538606809337,0.202374152863428
total_pushes,-0.0430892280614556,0.000214471797045174,-200.908598030629,0,Model_A_with_pushes,combined,7909420,0.223538606809337,0.202374152863428
new_products_lag1,0.0010402565948222,0.000369635674195295,2.81427542697782,0.0048887446265699,Model_A_with_trigger_pushes,combined,7909420,0.223604140062292,0.202441265223606
removed_customer_lag1,0.0123200982246725,0.000475740995388303,25.8966503708952,7.37133530214616e-148,Model_A_with_trigger_pushes,combined,7909420,0.223604140062292,0.202441265223606
pushes_trigger_1,-0.039624272185538,0.000373543847707635,-106.076629099112,0,Model_A_with_trigger_pushes,combined,7909420,0.223604140062292,0.202441265223606
pushes_trigger_2,-0.0617236056484583,0.000544211274441647,-113.41846181299,0,Model_A_with_trigger_pushes,combined,7909420,0.223604140062292,0.202441265223606
pushes_trigger_3,-0.0288649158718157,0.000951221416875431,-30.345107206092,2.9966723762099e-202,Model_A_with_trigger_pushes,combined,7909420,0.223604140062292,0.202441265223606
new_products_lag1,0.000844054643085812,0.00089729982279876,0.940660659503006,0.346878918697256,Model_B_threshold_4,push_0,1746412,0.221636875922773,0.20320915048359
removed_customer_lag1,0.00412947597846198,0.00119419819554879,3.45794860003476,0.000544318485182609,Model_B_threshold_4,push_0,1746412,0.221636875922773,0.20320915048359
sleep_gt_4,-0.125167553663792,0.00206772705961744,-60.5338857861396,0,Model_B_threshold_4,push_0,1746412,0.221636875922773,0.20320915048359
total_pushes,-0.0350258766191215,0.000552092045455154,-63.4420961277309,0,Model_B_threshold_4,push_0,1746412,0.221636875922773,0.20320915048359
sleep_gt_4:new_products,-0.00495778665036293,0.000576965376226729,-8.59286684200384,8.48954417917255e-18,Model_B_threshold_4,push_0,1746412,0.221636875922773,0.20320915048359
sleep_gt_4:removed_customer,-0.0562159307071407,0.00408715103625739,-13.7543071465785,4.8240543557925e-43,Model_B_threshold_4,push_0,1746412,0.221636875922773,0.20320915048359
new_products_lag1,0.000953905655373545,0.000401622758439253,2.37512848893454,0.0175428735443307,Model_B_threshold_4,push_1,6163008,0.226626225270328,0.204724228952643
removed_customer_lag1,0.00449520955133609,0.000515354771822549,8.72255346630206,2.72064575734067e-18,Model_B_threshold_4,push_1,6163008,0.226626225270328,0.204724228952643
sleep_gt_4,-0.0913451401133261,0.000987883139988779,-92.4655320206837,0,Model_B_threshold_4,push_1,6163008,0.226626225270328,0.204724228952643
total_pushes,-0.02821119768599,0.000253391226235577,-111.334548181089,0,Model_B_threshold_4,push_1,6163008,0.226626225270328,0.204724228952643
sleep_gt_4:new_products,-0.00316247140618321,0.000268266003233321,-11.788565707421,4.47455669419276e-32,Model_B_threshold_4,push_1,6163008,0.226626225270328,0.204724228952643
sleep_gt_4:removed_customer,-0.0547260859885178,0.00195908667194205,-27.9344894599623,1.04365864280545e-171,Model_B_threshold_4,push_1,6163008,0.226626225270328,0.204724228952643
new_products_lag1,-0.000223057663190846,0.000822304543950063,-0.271259188377282,0.786191725830525,Model_C,push_0,1746412,0.211405814072243,0.192737288080191
removed_customer_lag1,0.00905013859481729,0.00109107288365222,8.29471498230543,1.08923573252421e-16,Model_C,push_0,1746412,0.211405814072243,0.192737288080191
total_pushes,-0.0445086685537687,0.000471096086663068,-94.4789604792488,0,Model_C,push_0,1746412,0.211405814072243,0.192737288080191
new_products_lag1,-3.0868440044756e-05,0.000370281830500683,-0.0833647170940489,0.933561545289246,Model_C,push_1,6163008,0.216740463644507,0.194558905077745
removed_customer_lag1,0.00862045854260594,0.000472905387920486,18.2287171235515,3.06819500400356e-74,Model_C,push_1,6163008,0.216740463644507,0.194558905077745
total_pushes,-0.0351754094905364,0.000215746539012673,-163.040434629963,0,Model_C,push_1,6163008,0.216740463644507,0.194558905077745
new_products_lag1,0.000914197512604382,0.000910859001339482,1.00366523387263,0.31554014223663,Model_A_distributed,push_0,1746412,0.218436047220047,0.199932073282617
new_products_lag2,-0.000434198505478994,0.000904991331911101,-0.479781949471363,0.631382510764419,Model_A_distributed,push_0,1746412,0.218436047220047,0.199932073282617
new_products_lag3,0.000708432336341576,0.000875141023804851,0.809506487607592,0.418223985555484,Model_A_distributed,push_0,1746412,0.218436047220047,0.199932073282617
removed_customer_lag1,0.0138663257965762,0.00119143748325372,11.6383158927553,2.63879426823463e-31,Model_A_distributed,push_0,1746412,0.218436047220047,0.199932073282617
removed_customer_lag2,-0.00193768418917315,0.00117156142129801,-1.65393307934835,0.098141294556089,Model_A_distributed,push_0,1746412,0.218436047220047,0.199932073282617
removed_customer_lag3,-0.0094421540533684,0.0011546883154798,-8.1772318354542,2.90634884397553e-16,Model_A_distributed,push_0,1746412,0.218436047220047,0.199932073282617
total_pushes,-0.0523356128224673,0.000516184281197855,-101.389396633732,0,Model_A_distributed,push_0,1746412,0.218436047220047,0.199932073282617
new_products_lag1,0.00118379947219976,0.000406420139525663,2.9127480581582,0.00358264846113093,Model_A_distributed,push_1,6163008,0.224504610197915,0.202542396542729
new_products_lag2,0.000922379905470941,0.00040215821210931,2.29357471188536,0.021814973769732,Model_A_distributed,push_1,6163008,0.224504610197915,0.202542396542729
new_products_lag3,-0.000305619268527242,0.000388736750301813,-0.786185685531304,0.431758742058377,Model_A_distributed,push_1,6163008,0.224504610197915,0.202542396542729
removed_customer_lag1,0.0117115596957905,0.000513761633755369,22.7957070483917,5.11503124907751e-115,Model_A_distributed,push_1,6163008,0.224504610197915,0.202542396542729
removed_customer_lag2,0.000849730704723118,0.000506738432088331,1.67686256047577,0.0935694129458335,Model_A_distributed,push_1,6163008,0.224504610197915,0.202542396542729
