feature,importance,rank
purchases_per_week_last_2w,59.867149353027344,1
purchases_per_week_last_1w,59.81467819213867,2
purchases_per_week_last_4w,26.477306365966797,3
purchases_per_week_all_pre,21.861530303955078,4
days_since_last_purchase,17.953889846801758,5
total_purchase_days_pre,13.002388954162598,6
preferred_store_ratio,7.254130840301514,7
share_weeks_with_purchase,7.114863872528076,8
mean_inter_purchase_interval_days,5.3142900466918945,9
take_address_rate,5.249810218811035,10
coffee_share_orders,5.177314758300781,11
second_store_ratio,4.706050872802734,12
avg_coffee_num,4.400521278381348,13
std_inter_purchase_interval_days,4.360013484954834,14
entropy_dow,4.174983978271484,15
share_purchases_dow5,4.152276039123535,16
cv_inter_purchase_interval,4.139921188354492,17
total_orders_pre,4.09318208694458,18
longest_consecutive_streak_days,4.092723846435547,19
share_purchases_dow3,4.078910827636719,20
max_gap_between_purchases,4.0426836013793945,21
share_purchases_dow4,4.027545928955078,22
avg_basket_size,4.015957355499268,23
share_purchases_dow0,4.014327526092529,24
share_purchases_dow2,3.981022834777832,25
share_purchases_dow6,3.9768834114074707,26
total_spend_last_2w,3.9646265506744385,27
total_spend_last_4w,3.951744556427002,28
gender,3.941756010055542,29
n_order_categories_avg,3.9230997562408447,30
avg_food_num,3.9181621074676514,31
avg_use_coffee_wallet,3.876620292663574,32
avg_discount_per_order,3.844097375869751,33
coupon_usage_rate,3.8438191413879395,34
share_purchases_dow1,3.8307220935821533,35
total_spend_pre,3.8186309337615967,36
avg_delivery_pay,3.768831968307495,37
callphone,3.672700881958008,38
level,3.6310954093933105,39
manufacturer,3.538036346435547,40
modal_purchase_dow,3.296945810317993,41
unique_stores_pre,3.158165693283081,42
push,2.9253501892089844,43
purchased_in_last_7_days,1.503463625907898,44
purchased_in_last_14_days,1.0568088293075562,45
has_inviter,1.0182753801345825,46
