avg_order_value,total_spend,n_orders,avg_basket_size,unique_stores,coupon_usage_rate,avg_discount,weeks_active,order_per_week,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount,member_id,period_type
31.0,62.0,2,1.0,2,1.0,0.225,1.0,2.0,0,1,0.0,0,0,,active
28.0,56.0,2,1.0,1,0.0,0.2,1.1428571428571428,1.75,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,0.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
28.0,56.0,2,1.0,1,1.0,0.125,1.0,2.0,0,1,0.0,0,0,,active
96.0,96.0,1,3.0,1,1.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
42.0,84.0,2,1.5,1,1.0,0.325,3.2857142857142856,0.6086956521739131,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
236.0,236.0,1,8.0,1,1.0,0.45,1.0,1.0,0,1,0.0,0,0,,active
32.2,322.0,10,1.1,8,0.4,0.24500000000000002,10.714285714285714,0.9333333333333333,0,1,0.0,0,0,,active
93.0,93.0,1,3.0,1,1.0,0.5,1.0,1.0,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
22.0,44.0,2,1.0,1,1.0,0.225,1.0,2.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
116.0,348.0,3,3.6666666666666665,1,0.6666666666666666,0.45,2.4285714285714284,1.2352941176470589,0,1,0.0,0,0,,active
22.0,22.0,1,1.0,1,1.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
87.0,87.0,1,3.0,1,1.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
64.0,64.0,1,2.0,1,0.0,0.4,1.0,1.0,0,1,0.0,0,0,,active
25.0,25.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
26.0,26.0,1,1.0,1,0.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
25.0,25.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
31.0,62.0,2,1.0,1,1.0,0.2,1.0,2.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
25.0,25.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
90.0,90.0,1,3.0,1,1.0,0.55,1.0,1.0,0,1,0.0,0,0,,active
