member_id,total_pushes,avg_push_discount,dormant_length,push_group,dormant_period_num,period_type
1548,29,,309,0,1,dormant
22147,10,,36,0,1,dormant
29265,75,,321,0,1,dormant
39126,1,,1,0,1,dormant
46834,1,,1,0,1,dormant
48149,145,,404,0,1,dormant
54491,15,,36,0,1,dormant
59448,3,,11,0,1,dormant
73926,26,,75,0,1,dormant
75002,69,,279,0,1,dormant
75422,5,,11,0,1,dormant
78631,17,,53,0,1,dormant
82494,136,,392,0,1,dormant
83659,129,,373,0,1,dormant
90047,49,,128,0,1,dormant
99591,88,,217,0,1,dormant
108479,2,,3,0,1,dormant
123630,32,,81,0,1,dormant
123955,11,,32,0,1,dormant
126532,45,,129,0,1,dormant
129566,3,,8,0,1,dormant
130951,33,,249,0,1,dormant
135630,83,,385,0,1,dormant
143455,5,,8,0,1,dormant
143869,2,,1,0,1,dormant
145255,46,,354,0,1,dormant
146423,16,,56,0,1,dormant
151092,6,,17,0,1,dormant
151482,1,,1,0,1,dormant
168291,53,,194,0,1,dormant
173692,5,,16,0,1,dormant
177979,22,,191,0,1,dormant
180432,72,,477,0,1,dormant
184930,104,,296,0,1,dormant
185417,3,,7,0,1,dormant
187335,14,,48,0,1,dormant
194265,14,,49,0,1,dormant
206894,122,,372,0,1,dormant
207358,4,,43,0,1,dormant
215503,88,,405,0,1,dormant
217759,74,,216,0,1,dormant
232303,2,,1,0,1,dormant
237783,10,,126,0,1,dormant
241967,16,,57,0,1,dormant
249634,8,,25,0,1,dormant
250134,138,,487,0,1,dormant
256371,5,,16,0,1,dormant
260538,40,,79,0,1,dormant
264715,1,,1,0,1,dormant
270470,1,,1,0,1,dormant
276706,21,,77,0,1,dormant
288017,3,,10,0,1,dormant
289774,12,,35,0,1,dormant
296801,72,,212,0,1,dormant
297933,18,,160,0,1,dormant
304474,52,,182,0,1,dormant
305115,117,,374,0,1,dormant
308293,2,,8,0,1,dormant
313136,140,,390,0,1,dormant
316499,6,,15,0,1,dormant
319181,3,,16,0,1,dormant
319882,14,,30,0,1,dormant
330815,3,,18,0,1,dormant
331718,3,,1,0,1,dormant
348185,66,,243,0,1,dormant
358577,58,,204,0,1,dormant
360023,11,,16,0,1,dormant
364592,25,,57,0,1,dormant
374143,65,,309,0,1,dormant
380657,9,,71,0,1,dormant
381268,15,,42,0,1,dormant
383281,3,,43,0,1,dormant
383302,45,,404,0,1,dormant
386119,3,,8,0,1,dormant
390663,97,,368,0,1,dormant
404498,26,,91,0,1,dormant
406506,3,,2,0,1,dormant
423421,45,,226,0,1,dormant
425618,6,,16,0,1,dormant
427079,25,,94,0,1,dormant
429783,82,,209,0,1,dormant
432565,71,,213,0,1,dormant
438758,54,,186,0,1,dormant
443388,21,,75,0,1,dormant
448300,6,,27,0,1,dormant
449718,76,,398,0,1,dormant
453283,12,,39,0,1,dormant
454165,2,,4,0,1,dormant
478376,92,,368,0,1,dormant
479462,4,,9,0,1,dormant
487616,19,,51,0,1,dormant
488250,36,,82,0,1,dormant
488595,5,,16,0,1,dormant
