Metric,push=0 Mean,push=1 Mean,Difference,% Diff,T-test p-value,FDR-corrected p,Significant (FDR),Cohen's d
initial_orders,5.037698578072646,3.220252331887366,-1.8174462461852805,-36.07691524252748,0.0,0.0,True,-0.17196964804997036
initial_order_freq,1.208718840973229,1.1822640221915377,-0.026454818781691314,-2.188666039191594,1.1213429119829955e-43,2.055795338635492e-43,True,-0.04589196871419202
initial_interpurchase_days,9.027491727857141,9.025631772475116,-0.0018599553820255466,-0.020603235517636355,0.9513282532378056,0.9513282532378056,False,-0.00028249791324512133
initial_weeks_active,3.9637588319763384,2.665830655977163,-1.2979281759991754,-32.74488259801684,0.0,0.0,True,-0.21575426193337024
initial_avg_order_value,44.0680469971997,45.078628515022345,1.0105815178226436,2.2932296452503578,2.6978305083973844e-18,4.239447941767318e-18,True,0.02762669083736241
initial_avg_basket_size,1.5443074726209847,1.5497348795961359,0.0054274069751512055,0.3514460087368391,0.18021304481161823,0.22026038810308893,False,0.0043172675676403215
initial_total_spend,199.57067545716714,131.30048759711778,-68.27018786004936,-34.208526730522514,3.433094940632257e-121,7.5528088693909655e-121,True,-0.12984004301172106
initial_unique_stores,1.5138692093550483,1.295668464273697,-0.21820074508135123,-14.413447590648271,0.0,0.0,True,-0.2034410886509457
initial_coupon_usage_rate,0.7536732817212063,0.7212208460996443,-0.03245243562156197,-4.305902359633674,1.8201885812351437e-152,5.005518598396645e-152,True,-0.07850716947715908
initial_avg_discount,0.2608846864845891,0.2611508031574627,0.0002661166728735731,0.10200547853516616,0.3956274298988195,0.43519017288870143,False,0.002529968578663021
initial_discount_depth_pref,0.05422562706960506,0.04961626776509217,-0.0046093593045128944,-8.500333797147668,8.71550451225601e-14,1.1983818704352013e-13,True,-0.02352585039843624
